method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,cpu,False,vip_http_client_visible_total_down_ms,100,9954.94,9914.5,393.6424778959207,540.0,9044.0,11094.0,9877.787492053889,10032.092507946112
postcopy,cpu,False,vip_http_client_visible_down_segments,100,2.25,2.0,0.5,0.0,2.0,4.0,2.1520018007729975,2.3479981992270025
postcopy,cpu,False,vip_http_client_visible_outage_span_ms,100,13351.62,13362.0,388.13825975658295,561.25,12511.0,14329.0,13275.546298985506,13427.693701014496
postcopy,cpu,False,vip_http_cutover_near_downtime_ms,100,1205.27,1212.0,34.14403685162685,48.25,1162.0,1312.0,1198.5778917484004,1211.9621082515996
postcopy,cpu,False,vip_http_downtime_ms,100,1205.27,1212.0,34.14403685162685,48.25,1162.0,1312.0,1198.5778917484004,1211.9621082515996
postcopy,cpu,False,vip_l4_downtime_ms,100,1200.85,1210.0,33.34829209807582,50.0,1159.0,1310.0,1194.313854854185,1207.386145145815
postcopy,cpu,False,http_downtime_ms,100,11783.97,11770.5,385.3022545661229,525.0,11001.0,12697.0,11708.452145788831,11859.487854211167
postcopy,cpu,False,l4_downtime_ms,100,2359.58,2350.0,65.90123923973913,100.25,2238.0,2550.0,2346.6635944553555,2372.4964055446444
postcopy,cpu,False,vip_http_downphase_ms,100,7013.14,7006.0,118.4793397153864,156.75,6703.0,7267.0,6989.918476124576,7036.361523875425
postcopy,cpu,False,postcopy_restore_to_readiness_ms,100,3955.79,3965.5,224.56054930247723,331.75,3508.0,4425.0,3911.776941101861,3999.8030588981387
postcopy,cpu,False,postcopy_readiness_gate_ms,100,1783.74,1775.5,40.39242353199271,45.5,1711.0,1916.0,1775.8232304629007,1791.6567695370993
postcopy,cpu,False,postcopy_warmup_duration_ms,100,575.21,575.0,14.43571258995544,19.0,538.0,612.0,572.3806523232516,578.0393476767484
postcopy,cpu,False,postcopy_cutover_to_health_ok_ms,100,2958.19,2956.0,58.29664560580556,67.75,2840.0,3097.0,2946.7640674193126,2969.6159325806875
postcopy,cpu,False,latency_src_p50_ms,100,5.379999999999999,5.52,0.4910142049828594,0.5625,3.83,6.45,5.283762984233602,5.476237015766396
postcopy,cpu,False,latency_dst_p50_ms,100,2.79565,2.7225,0.2657547428237798,0.3174999999999999,2.44,3.72,2.743563027534469,2.8477369724655315
postcopy,cpu,False,latency_vip_p50_ms,100,3.62355,3.4975,0.40226272572169863,0.5750000000000002,2.9,4.74,3.5447079545262556,3.702392045473744
postcopy,cpu,False,latency_src_avg_ms,100,5.861130000000002,5.8835,0.4215786746135161,0.5914999999999999,4.605,6.807,5.77850209811074,5.943757901889264
postcopy,cpu,False,latency_dst_avg_ms,100,3.79165,3.7030000000000003,0.3491882180374384,0.5397499999999997,3.179,4.676,3.7232103668820904,3.86008963311791
postcopy,cpu,False,latency_vip_avg_ms,100,4.7241599999999995,4.6505,0.34884205913596805,0.4219999999999997,4.025,5.637,4.65578821278007,4.792531787219929
postcopy,cpu,False,latency_delta_dst_src_p50_ms,100,-2.58435,-2.6425,0.5259208638668986,0.71875,-3.5,-0.8900000000000001,-2.6874285951897314,-2.481271404810269
postcopy,cpu,False,dl_avg_bps,0,,,,,,,,
postcopy,cpu,False,stream_disconnects,100,43.69,44.0,0.8127146181194546,1.0,42.0,46.0,43.530710861877665,43.84928913812233
postcopy,cpu,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,cpu,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,download,False,vip_http_client_visible_total_down_ms,100,9749.49,9727.0,417.1325031108402,542.5,8991.0,10982.0,9667.73353171217,9831.246468287829
postcopy,download,False,vip_http_client_visible_down_segments,100,2.27,2.0,0.5290548080293666,0.0,2.0,4.0,2.166307163041469,2.373692836958531
postcopy,download,False,vip_http_client_visible_outage_span_ms,100,14451.69,14421.0,463.9326556623267,602.0,13524.0,15652.0,14360.760870364982,14542.619129635019
postcopy,download,False,vip_http_cutover_near_downtime_ms,100,1312.07,1262.0,205.3418069384987,99.0,1154.0,2070.0,1271.8237453880165,1352.3162546119834
postcopy,download,False,vip_http_downtime_ms,100,1312.07,1262.0,205.3418069384987,99.0,1154.0,2070.0,1271.8237453880165,1352.3162546119834
postcopy,download,False,vip_l4_downtime_ms,100,1309.43,1259.0,209.57437651804977,99.25,1111.0,2063.0,1268.3541769942187,1350.5058230057814
postcopy,download,False,http_downtime_ms,100,12685.02,12628.0,432.7526640967427,529.0,11798.0,14038.0,12600.202036415663,12769.837963584338
postcopy,download,False,l4_downtime_ms,100,3669.04,3612.5,240.08718618388815,172.25,3359.0,4752.0,3621.9837761930016,3716.0962238069983
postcopy,download,False,vip_http_downphase_ms,100,5783.6,5805.0,247.18242557906802,202.75,4653.0,6200.0,5735.1531348253775,5832.046865174623
postcopy,download,False,postcopy_restore_to_readiness_ms,100,4008.33,3994.5,256.3221243165354,262.25,3142.0,5186.0,3958.0917867898793,4058.5682132101206
postcopy,download,False,postcopy_readiness_gate_ms,100,2537.06,2500.5,194.6476132228015,95.25,2351.0,3679.0,2498.9097688406628,2575.210231159337
postcopy,download,False,postcopy_warmup_duration_ms,100,1033.58,1022.0,115.7277526234426,73.5,890.0,2035.0,1010.8977772846291,1056.2622227153709
postcopy,download,False,postcopy_cutover_to_health_ok_ms,100,3391.07,3288.0,293.64374949275117,239.0,3029.0,4239.0,3333.516882670891,3448.6231173291094
postcopy,download,False,latency_src_p50_ms,100,7.907450000000001,7.8825,0.4878252579799782,0.5987500000000008,6.7,9.43,7.811838006361029,8.003061993638973
postcopy,download,False,latency_dst_p50_ms,100,5.1376,4.85,0.9214000326687752,0.9750000000000005,3.695,7.83,4.957008912061517,5.318191087938483
postcopy,download,False,latency_vip_p50_ms,100,7.295649999999999,7.245,0.9109939224647312,1.1025,5.57,9.59,7.117098472183424,7.474201527816574
postcopy,download,False,latency_src_avg_ms,100,9.209430000000001,9.214,0.46550709300327914,0.5365000000000002,8.085,10.974,9.118192286316564,9.300667713683438
postcopy,download,False,latency_dst_avg_ms,100,6.50464,6.218,0.8907738608149158,0.941250000000001,4.942,9.056,6.330051531443307,6.679228468556693
postcopy,download,False,latency_vip_avg_ms,100,9.33165,9.244,0.6010138130986288,0.8452500000000001,8.191,10.727,9.21385345721156,9.44944654278844
postcopy,download,False,latency_delta_dst_src_p50_ms,100,-2.76985,-2.9925,1.033810362765636,1.2512499999999993,-4.914999999999999,-0.29000000000000004,-2.9724731077864934,-2.5672268922135064
postcopy,download,False,dl_avg_bps,100,84591085.78899,97589871.7975,25938899.940213736,54836491.278500006,40478825.748,116906288.513,79507154.8208493,89675016.75713071
postcopy,download,False,stream_disconnects,100,50.92,51.0,1.6858292327576365,2.0,48.0,55.0,50.589583541971024,51.25041645802898
postcopy,download,False,download_disconnects,100,1.77,2.0,0.4461960433384737,0.0,1.0,3.0,1.682547182501232,1.8574528174987681
postcopy,download,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,idle,False,vip_http_client_visible_total_down_ms,100,9631.39,9603.5,379.37015571932517,528.25,8920.0,10986.0,9557.034815798077,9705.745184201922
postcopy,idle,False,vip_http_client_visible_down_segments,100,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,idle,False,vip_http_client_visible_outage_span_ms,100,12916.33,12892.5,390.4268075071204,539.75,12067.0,14269.0,12839.80775186871,12992.85224813129
postcopy,idle,False,vip_http_cutover_near_downtime_ms,100,1232.2,1213.0,114.06873703025194,100.25,1112.0,1912.0,1209.8429383658736,1254.5570616341265
postcopy,idle,False,vip_http_downtime_ms,100,1232.2,1213.0,114.06873703025194,100.25,1112.0,1912.0,1209.8429383658736,1254.5570616341265
postcopy,idle,False,vip_l4_downtime_ms,100,1221.15,1210.0,109.36163482555102,100.0,1110.0,1860.0,1199.71551344515,1242.5844865548502
postcopy,idle,False,http_downtime_ms,100,11332.04,11325.5,364.04872356775695,478.5,10549.0,12205.0,11260.687761318943,11403.39223868106
postcopy,idle,False,l4_downtime_ms,100,2325.9,2301.0,80.23406415298336,99.0,2100.0,2501.0,2310.174412392688,2341.6255876073124
postcopy,idle,False,vip_http_downphase_ms,100,7123.31,7149.5,92.63054615410665,151.0,6902.0,7352.0,7105.154746566968,7141.465253433033
postcopy,idle,False,postcopy_restore_to_readiness_ms,100,3248.81,3249.0,160.12108391823833,221.25,2915.0,3647.0,3217.4268442354737,3280.193155764526
postcopy,idle,False,postcopy_readiness_gate_ms,100,1801.72,1803.5,51.44735074802102,64.25,1618.0,1966.0,1791.636504543388,1811.8034954566122
postcopy,idle,False,postcopy_warmup_duration_ms,100,539.23,537.5,8.66999353395306,9.25,520.0,565.0,537.5307124927257,540.9292875072744
postcopy,idle,False,postcopy_cutover_to_health_ok_ms,100,3205.12,3143.5,231.96975072738525,133.5,2875.0,3982.0,3159.654764307159,3250.585235692841
postcopy,idle,False,latency_src_p50_ms,100,4.536950000000001,4.5575,0.5228799884516832,0.7637499999999999,3.27,5.55,4.434467405439799,4.639432594560203
postcopy,idle,False,latency_dst_p50_ms,100,3.2426000000000004,3.2975000000000003,0.41027182415682617,0.7450000000000001,2.52,4.04,3.1621882000781074,3.3230117999218933
postcopy,idle,False,latency_vip_p50_ms,100,3.7191500000000004,3.74,0.3957067931709237,0.6450000000000005,2.96,4.67,3.6415928936947153,3.7967071063052855
postcopy,idle,False,latency_src_avg_ms,100,4.8944,4.8835,0.25991494335220083,0.3362499999999997,4.17,5.71,4.843457607198592,4.945342392801408
postcopy,idle,False,latency_dst_avg_ms,100,4.102169999999999,4.187,0.3612394224098891,0.48600000000000065,3.155,4.917,4.031368374228056,4.172971625771942
postcopy,idle,False,latency_vip_avg_ms,100,4.394589999999999,4.4544999999999995,0.29398000670697716,0.4475000000000007,3.715,5.048,4.3369709774679475,4.452209022532051
