run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,analysis_source,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0001,0001,1,20260504_113900_postcopy_01_6bfbe7,postcopy,idle,ok,2026-05-04T11:39:00Z,2026-05-04T11:39:39Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0001\summary.json,,False,,,1777894766738.0,1777894766738.0,events(offset_corrected),11000.0,2299.0,9246.0,2.0,12512.0,1163.0,1163.0,1111.0,50.0,50.0,7155.0,1100.0,201.0,141.0,144.0,24.0,0.0,0.0,200.0,141.0,199.0,118.0,1.0,23.0,1777894767205.0,1777894768368.0,,2191.0,,,2790.0,1778.0,,,,,4125.0,,,,3474.0,1716.0,543.0,2719.0,3104.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.06,4.746,3.395,4.313,3.95,4.452,41.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-0.6649999999999996,-0.4330000000000007,8135.0,52.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0002,0002,2,20260504_113940_postcopy_02_ae8880,postcopy,idle,ok,2026-05-04T11:39:40Z,2026-05-04T11:40:20Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0002\summary.json,,False,,,1777894807821.0,1777894807821.0,events(offset_corrected),11449.0,2351.0,9807.0,2.0,13019.0,1213.0,1213.0,1160.0,50.0,52.0,7215.0,1149.0,201.0,142.0,145.0,25.0,0.0,0.0,200.0,141.0,200.0,117.0,0.0,24.0,1777894808281.0,1777894809494.0,,2259.0,,,3205.0,1728.0,,,,,3945.0,,,,3287.0,1831.0,545.0,2726.0,3128.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.155,4.82,2.82,3.684,3.21,4.001,45.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.3350000000000004,-1.1360000000000001,8647.0,53.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0003,0003,3,20260504_114022_postcopy_03_4d489f,postcopy,idle,ok,2026-05-04T11:40:22Z,2026-05-04T11:41:00Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0003\summary.json,,False,,,1777894847769.0,1777894847769.0,events(offset_corrected),10899.0,2251.0,9292.0,2.0,12564.0,1314.0,1314.0,1310.0,52.0,50.0,7151.0,1300.0,201.0,145.0,144.0,27.0,0.0,0.0,200.0,145.0,199.0,118.0,1.0,27.0,1777894848239.0,1777894849553.0,,1952.0,,,3113.0,1776.0,,,,,3771.0,,,,3134.0,1783.0,525.0,2910.0,3314.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.265,4.842,3.585,4.504,4.03,4.561,41.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-0.6799999999999997,-0.3380000000000001,7982.0,4.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0004,0004,4,20260504_114103_postcopy_04_0a192d,postcopy,idle,ok,2026-05-04T11:41:03Z,2026-05-04T11:41:42Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0004\summary.json,,False,,,1777894889576.0,1777894889576.0,events(offset_corrected),11501.0,2351.0,9830.0,2.0,13062.0,1212.0,1212.0,1210.0,51.0,50.0,7152.0,1200.0,200.0,142.0,144.0,25.0,0.0,0.0,200.0,142.0,200.0,117.0,0.0,25.0,1777894890022.0,1777894891234.0,,2274.0,,,3207.0,1966.0,,,,,3762.0,,,,3119.0,1796.0,533.0,2750.0,3140.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.61,4.872,3.505,4.138,3.9,4.256,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.1050000000000004,-0.734,8620.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0005,0005,5,20260504_114144_postcopy_05_b7883a,postcopy,idle,ok,2026-05-04T11:41:44Z,2026-05-04T11:42:24Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0005\summary.json,,False,,,1777894930984.0,1777894930984.0,events(offset_corrected),12050.0,2400.0,10470.0,2.0,13766.0,1366.0,1366.0,1361.0,50.0,50.0,7102.0,1350.0,201.0,144.0,143.0,28.0,0.0,0.0,200.0,144.0,199.0,116.0,1.0,28.0,1777894931439.0,1777894932805.0,,2143.0,,,4011.0,1916.0,,,,,3860.0,,,,3213.0,1814.0,535.0,2821.0,3208.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,3.865,4.394,3.28,3.999,3.71,4.457,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-0.5850000000000004,-0.395,9109.0,5.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0006,0006,6,20260504_114226_postcopy_06_e680da,postcopy,idle,ok,2026-05-04T11:42:26Z,2026-05-04T11:43:04Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0006\summary.json,,False,,,1777894971777.0,1777894971777.0,events(offset_corrected),11202.0,2500.0,9334.0,2.0,12762.0,1213.0,1213.0,1211.0,49.0,0.0,7006.0,1200.0,201.0,143.0,141.0,25.0,0.0,0.0,201.0,143.0,200.0,118.0,1.0,25.0,1777894972245.0,1777894973458.0,,2154.0,,,2909.0,1868.0,,,,,4167.0,,,,3516.0,1896.0,540.0,2792.0,3188.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.01,4.935,3.625,4.361,4.16,4.695,42.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.3849999999999998,-0.5739999999999998,8123.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0007,0007,7,20260504_114306_postcopy_07_60f9d9,postcopy,idle,ok,2026-05-04T11:43:06Z,2026-05-04T11:43:45Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0007\summary.json,,False,,,1777895012288.0,1777895012288.0,events(offset_corrected),11201.0,2251.0,9482.0,2.0,12662.0,1163.0,1163.0,1161.0,0.0,50.0,7202.0,1150.0,201.0,138.0,145.0,24.0,0.0,0.0,200.0,138.0,199.0,114.0,1.0,24.0,1777895012724.0,1777895013887.0,,2264.0,,,3183.0,1755.0,,,,,3840.0,,,,3188.0,1764.0,541.0,2616.0,3000.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.485,5.266,2.85,3.918,3.585,4.244,42.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.6350000000000002,-1.3479999999999999,8321.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0008,0008,8,20260504_114347_postcopy_08_9d01f6,postcopy,idle,ok,2026-05-04T11:43:47Z,2026-05-04T11:44:26Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0008\summary.json,,False,,,1777895053253.0,1777895053253.0,events(offset_corrected),11454.0,2299.0,9745.0,2.0,12963.0,1164.0,1164.0,1161.0,48.0,50.0,7204.0,1150.0,201.0,142.0,145.0,24.0,0.0,0.0,200.0,141.0,200.0,117.0,0.0,24.0,1777895053716.0,1777895054880.0,,2114.0,,,3530.0,1834.0,,,,,3896.0,,,,3233.0,1813.0,544.0,2760.0,3165.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.42,5.294,3.81,4.2,4.21,4.633,42.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.6099999999999999,-1.0939999999999994,8584.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0009,0009,9,20260504_114427_postcopy_09_2024e5,postcopy,idle,ok,2026-05-04T11:44:27Z,2026-05-04T11:45:06Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0009\summary.json,,False,,,1777895092899.0,1777895092899.0,events(offset_corrected),10749.0,2400.0,9058.0,2.0,12467.0,1363.0,1363.0,1361.0,50.0,50.0,7005.0,1350.0,201.0,145.0,141.0,28.0,0.0,0.0,200.0,145.0,200.0,117.0,0.0,28.0,1777895093371.0,1777895094734.0,,1858.0,,,2910.0,1811.0,,,,,4050.0,,,,3374.0,1814.0,565.0,2936.0,3352.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.7,5.012,2.84,3.985,3.36,4.213,41.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.8600000000000003,-1.0269999999999997,7697.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0010,0010,10,20260504_114508_postcopy_10_7dbe2f,postcopy,idle,ok,2026-05-04T11:45:08Z,2026-05-04T11:45:46Z,,True,True,False,20260504_113900_postcopy_idle_14a410,/mnt/criu/runs/batches/20260504_113900_postcopy_idle_14a410,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_113900_postcopy_idle_14a410\runs\0010\summary.json,,False,,,1777895134010.0,1777895134010.0,events(offset_corrected),11251.0,2201.0,9470.0,2.0,12764.0,1163.0,1163.0,1110.0,50.0,50.0,7103.0,1100.0,201.0,140.0,143.0,24.0,0.0,0.0,200.0,141.0,199.0,118.0,1.0,23.0,1777895134493.0,1777895135656.0,,2185.0,,,3186.0,1845.0,,,,,3936.0,,,,3291.0,1749.0,532.0,2660.0,3076.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.68,4.847,2.74,4.024,3.35,4.478,41.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260504_113900_postcopy_idle_14a410,-1.9399999999999995,-0.8230000000000004,8360.0,53.0
