method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,stream,False,vip_http_client_visible_total_down_ms,100,9631.48,9576.5,410.44837468654725,454.25,8790.0,10787.0,9551.033596810135,9711.926403189864
postcopy,stream,False,vip_http_client_visible_down_segments,100,2.07,2.0,0.25643239997624284,0.0,2.0,3.0,2.0197401731577393,2.1202598268422603
postcopy,stream,False,vip_http_client_visible_outage_span_ms,100,12874.67,12818.0,413.03713861926246,451.5,12014.0,14022.0,12793.716208402877,12955.623791597123
postcopy,stream,False,vip_http_cutover_near_downtime_ms,100,1225.79,1213.0,97.16364359349456,97.5,1112.0,1813.0,1206.7462757950063,1244.8337242049936
postcopy,stream,False,vip_http_downtime_ms,100,1225.79,1213.0,97.16364359349456,97.5,1112.0,1813.0,1206.7462757950063,1244.8337242049936
postcopy,stream,False,vip_l4_downtime_ms,100,1218.37,1210.0,100.98211212733159,100.0,1110.0,1811.0,1198.5778697147643,1238.1621302852354
postcopy,stream,False,http_downtime_ms,100,11290.15,11251.0,395.51333157625095,353.75,10453.0,12450.0,11212.63081147051,11367.66918852949
postcopy,stream,False,l4_downtime_ms,100,2301.68,2300.0,68.17622441700314,99.25,2140.0,2494.0,2288.317705554075,2315.0422944459247
postcopy,stream,False,vip_http_downphase_ms,100,7169.16,7200.5,85.07177243155607,99.0,6852.0,7352.0,7152.486238993316,7185.833761006684
postcopy,stream,False,postcopy_restore_to_readiness_ms,100,3231.76,3229.0,136.17087601520186,164.5,2896.0,3800.0,3205.0709987266937,3258.4490012733067
postcopy,stream,False,postcopy_readiness_gate_ms,100,1774.54,1779.0,45.468030726894455,61.75,1670.0,1890.0,1765.6284297327327,1783.4515702672672
postcopy,stream,False,postcopy_warmup_duration_ms,100,543.58,542.0,9.351907923957645,11.0,525.0,586.0,541.7470597282309,545.4129402717692
postcopy,stream,False,postcopy_cutover_to_health_ok_ms,100,3190.7,3142.5,217.96109837317394,139.75,2908.0,3906.0,3147.9804097157785,3233.419590284221
postcopy,stream,False,latency_src_p50_ms,100,5.336199999999999,5.465,0.45533211322432926,0.39750000000000085,3.7,5.925,5.246956545707579,5.425443454292419
postcopy,stream,False,latency_dst_p50_ms,100,3.2173999999999996,3.2975000000000003,0.4164444740898839,0.7324999999999999,2.545,3.94,3.13577838292231,3.299021617077689
postcopy,stream,False,latency_vip_p50_ms,100,3.8779000000000003,3.995,0.401074428217129,0.6462499999999998,3.01,4.69,3.7992908565574437,3.956509143442557
postcopy,stream,False,latency_src_avg_ms,100,5.1447,5.2135,0.27434327460907865,0.2699999999999996,4.247,5.639,5.090929706236543,5.1984702937634575
postcopy,stream,False,latency_dst_avg_ms,100,4.08595,4.2095,0.3765793777914263,0.5974999999999997,3.271,4.845,4.0121417982208305,4.15975820177917
postcopy,stream,False,latency_vip_avg_ms,100,4.49736,4.5595,0.2524726015738233,0.41075000000000017,4.012,5.09,4.447876279383217,4.546843720616782
postcopy,stream,False,latency_delta_dst_src_p50_ms,100,-2.1188000000000002,-2.0699999999999994,0.5687835327000133,0.8762499999999998,-3.25,-0.41500000000000004,-2.230279523909149,-2.0073204760908516
postcopy,stream,False,dl_avg_bps,0,,,,,,,,
postcopy,stream,False,stream_disconnects,100,47.24,47.0,0.9224473377429689,1.0,45.0,49.0,47.059203644038895,47.42079635596111
postcopy,stream,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,stream,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,stream,False,vip_http_client_visible_total_down_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,stream,False,vip_http_client_visible_outage_span_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_cutover_near_downtime_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_downtime_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_l4_downtime_ms,100,1414.85,1350.0,555.5803658601453,51.0,1299.0,6900.0,1305.9582492396528,1523.741750760347
precopy,stream,False,http_downtime_ms,100,1434.26,1350.5,565.8940297699676,144.25,1263.0,6980.0,1323.3468082584627,1545.1731917415373
precopy,stream,False,l4_downtime_ms,100,1004.83,951.0,541.6104503229142,57.5,850.0,6351.0,898.6763023716569,1110.9836976283432
precopy,stream,False,vip_http_downphase_ms,100,1677.79,1600.0,554.5757190698293,150.0,1499.0,7100.0,1569.095156392273,1786.4848436077268
precopy,stream,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,stream,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,stream,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,stream,False,postcopy_cutover_to_health_ok_ms,100,1006.53,1012.5,36.976775402837916,43.25,910.0,1103.0,999.2826851946011,1013.7773148053989
precopy,stream,False,latency_src_p50_ms,100,5.899349999999999,5.967499999999999,0.2641602427285072,0.27500000000000036,4.305,6.25,5.847575543810476,5.951124456189523
precopy,stream,False,latency_dst_p50_ms,100,5.8453,5.8825,0.2664315440723333,0.2575000000000003,4.72,6.295,5.793080376927283,5.897519623072717
precopy,stream,False,latency_vip_p50_ms,100,5.503349999999999,5.505,0.1255554427012991,0.14999999999999947,5.13,5.79,5.478741585424246,5.527958414575752
precopy,stream,False,latency_src_avg_ms,100,5.617009999999999,5.641500000000001,0.2758614604353703,0.36024999999999974,4.718,6.113,5.562942147282404,5.671077852717594
precopy,stream,False,latency_dst_avg_ms,100,5.699699999999999,5.7265,0.34589282803326304,0.4059999999999997,4.454,6.683,5.631906251454409,5.767493748545589
precopy,stream,False,latency_vip_avg_ms,100,5.304819999999999,5.3175,0.21179594620361086,0.25925000000000065,4.604,5.909,5.263308757336933,5.346331242663066
precopy,stream,False,latency_delta_dst_src_p50_ms,100,-0.054050000000000056,-0.054999999999999716,0.34755545666058174,0.40624999999999956,-1.4300000000000006,0.7599999999999998,-0.12216961776851122,0.014069617768511108
precopy,stream,False,dl_avg_bps,0,,,,,,,,
precopy,stream,False,stream_disconnects,100,25.45,25.0,2.2219065432345904,0.0,25.0,47.0,25.01451431982463,25.885485680175368
precopy,stream,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,stream,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
