method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,idle,False,vip_http_client_visible_total_down_ms,100,9631.39,9603.5,379.37015571932517,528.25,8920.0,10986.0,9557.034815798077,9705.745184201922
postcopy,idle,False,vip_http_client_visible_down_segments,100,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,idle,False,vip_http_client_visible_outage_span_ms,100,12916.33,12892.5,390.4268075071204,539.75,12067.0,14269.0,12839.80775186871,12992.85224813129
postcopy,idle,False,vip_http_cutover_near_downtime_ms,100,1232.2,1213.0,114.06873703025194,100.25,1112.0,1912.0,1209.8429383658736,1254.5570616341265
postcopy,idle,False,vip_http_downtime_ms,100,1232.2,1213.0,114.06873703025194,100.25,1112.0,1912.0,1209.8429383658736,1254.5570616341265
postcopy,idle,False,vip_l4_downtime_ms,100,1221.15,1210.0,109.36163482555102,100.0,1110.0,1860.0,1199.71551344515,1242.5844865548502
postcopy,idle,False,http_downtime_ms,100,11332.04,11325.5,364.04872356775695,478.5,10549.0,12205.0,11260.687761318943,11403.39223868106
postcopy,idle,False,l4_downtime_ms,100,2325.9,2301.0,80.23406415298336,99.0,2100.0,2501.0,2310.174412392688,2341.6255876073124
postcopy,idle,False,vip_http_downphase_ms,100,7123.31,7149.5,92.63054615410665,151.0,6902.0,7352.0,7105.154746566968,7141.465253433033
postcopy,idle,False,postcopy_restore_to_readiness_ms,100,3248.81,3249.0,160.12108391823833,221.25,2915.0,3647.0,3217.4268442354737,3280.193155764526
postcopy,idle,False,postcopy_readiness_gate_ms,100,1801.72,1803.5,51.44735074802102,64.25,1618.0,1966.0,1791.636504543388,1811.8034954566122
postcopy,idle,False,postcopy_warmup_duration_ms,100,539.23,537.5,8.66999353395306,9.25,520.0,565.0,537.5307124927257,540.9292875072744
postcopy,idle,False,postcopy_cutover_to_health_ok_ms,100,3205.12,3143.5,231.96975072738525,133.5,2875.0,3982.0,3159.654764307159,3250.585235692841
postcopy,idle,False,latency_src_p50_ms,100,4.536950000000001,4.5575,0.5228799884516832,0.7637499999999999,3.27,5.55,4.434467405439799,4.639432594560203
postcopy,idle,False,latency_dst_p50_ms,100,3.2426000000000004,3.2975000000000003,0.41027182415682617,0.7450000000000001,2.52,4.04,3.1621882000781074,3.3230117999218933
postcopy,idle,False,latency_vip_p50_ms,100,3.7191500000000004,3.74,0.3957067931709237,0.6450000000000005,2.96,4.67,3.6415928936947153,3.7967071063052855
postcopy,idle,False,latency_src_avg_ms,100,4.8944,4.8835,0.25991494335220083,0.3362499999999997,4.17,5.71,4.843457607198592,4.945342392801408
postcopy,idle,False,latency_dst_avg_ms,100,4.102169999999999,4.187,0.3612394224098891,0.48600000000000065,3.155,4.917,4.031368374228056,4.172971625771942
postcopy,idle,False,latency_vip_avg_ms,100,4.394589999999999,4.4544999999999995,0.29398000670697716,0.4475000000000007,3.715,5.048,4.3369709774679475,4.452209022532051
postcopy,idle,False,latency_delta_dst_src_p50_ms,100,-1.2943500000000001,-1.2950000000000002,0.5898607330068975,0.8137499999999995,-2.7650000000000006,0.10499999999999998,-1.4099605792587917,-1.1787394207412085
postcopy,idle,False,dl_avg_bps,0,,,,,,,,
postcopy,idle,False,stream_disconnects,100,42.25,42.0,0.9142530206997327,1.0,41.0,45.0,42.070809700667155,42.429190299332845
postcopy,idle,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,idle,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
