run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,client_visible_vip_http,1778483549086,1778483563650,10045,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1778483549086,1778483557868,8782,0,8782,observed_down,,,multiple_down_segments,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,client_visible_vip_http,1778483549086,1778483563650,10045,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1778483562387,1778483563650,1263,13301,14564,observed_down,,,multiple_down_segments,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,1,transfer,Transfer,transfer,1778483549268,1778483551475,2207,0,2207,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,2,transfer_to_restore,Transfer to restore,handoff,1778483551475,1778483554693,3218,2207,5425,event,transfer_done_ms_event,restore_start_ms_event,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,3,restore,Restore,restore,1778483554693,1778483556512,1819,5425,7244,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,4,unknown_gap,Unknown / not explained by markers,unknown,1778483556512,1778483558296,1784,7244,9028,unknown,,,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,5,readiness_gate,Readiness gate,readiness,1778483558296,1778483560677,2381,9028,11409,event,dest_readiness_wait_start_ms_event,dest_readiness_ok_ms_event,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,6,unknown_gap,Unknown / not explained by markers,unknown,1778483560677,1778483560788,111,11409,11520,unknown,,,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,7,warmup,Warmup,warmup,1778483560788,1778483561716,928,11520,12448,event,postcopy_warmup_start_ms_event,postcopy_warmup_done_ms_event,unknown_present,True
20260511_071211_postcopy_01_ed6778,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_071211_postcopy_wrk1_0d71f4\runs\0001,0001,1,20260511_071211_postcopy_wrk1_0d71f4,/mnt/criu/runs/batches/20260511_071211_postcopy_wrk1_0d71f4,20260511_071211_postcopy_wrk1_0d71f4,postcopy,wrk1,False,False,event_critical_path,1778483549268,1778483565369,16101,,8,warmup_to_cutover,Warmup to cutover,handoff,1778483561716,1778483561821,105,12448,12553,event,postcopy_warmup_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
