method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,cpu,False,vip_http_client_visible_total_down_ms,1,10256.0,10256.0,0.0,0.0,10256.0,10256.0,10256.0,10256.0
postcopy,cpu,False,vip_http_client_visible_down_segments,1,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0
postcopy,cpu,False,vip_http_client_visible_outage_span_ms,1,13573.0,13573.0,0.0,0.0,13573.0,13573.0,13573.0,13573.0
postcopy,cpu,False,vip_http_cutover_near_downtime_ms,1,1217.0,1217.0,0.0,0.0,1217.0,1217.0,1217.0,1217.0
postcopy,cpu,False,vip_http_downtime_ms,1,1217.0,1217.0,0.0,0.0,1217.0,1217.0,1217.0,1217.0
postcopy,cpu,False,vip_l4_downtime_ms,1,1210.0,1210.0,0.0,0.0,1210.0,1210.0,1210.0,1210.0
postcopy,cpu,False,http_downtime_ms,1,12029.0,12029.0,0.0,0.0,12029.0,12029.0,12029.0,12029.0
postcopy,cpu,False,l4_downtime_ms,1,2449.0,2449.0,0.0,0.0,2449.0,2449.0,2449.0,2449.0
postcopy,cpu,False,vip_http_downphase_ms,1,6903.0,6903.0,0.0,0.0,6903.0,6903.0,6903.0,6903.0
postcopy,cpu,False,postcopy_restore_to_readiness_ms,1,4454.0,4454.0,0.0,0.0,4454.0,4454.0,4454.0,4454.0
postcopy,cpu,False,postcopy_readiness_gate_ms,1,1847.0,1847.0,0.0,0.0,1847.0,1847.0,1847.0,1847.0
postcopy,cpu,False,postcopy_warmup_duration_ms,1,540.0,540.0,0.0,0.0,540.0,540.0,540.0,540.0
postcopy,cpu,False,postcopy_cutover_to_health_ok_ms,1,2990.0,2990.0,0.0,0.0,2990.0,2990.0,2990.0,2990.0
postcopy,cpu,False,latency_src_p50_ms,1,4.15,4.15,0.0,0.0,4.15,4.15,4.15,4.15
postcopy,cpu,False,latency_dst_p50_ms,1,2.53,2.53,0.0,0.0,2.53,2.53,2.53,2.53
postcopy,cpu,False,latency_vip_p50_ms,1,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
postcopy,cpu,False,latency_src_avg_ms,1,5.766,5.766,0.0,0.0,5.766,5.766,5.766,5.766
postcopy,cpu,False,latency_dst_avg_ms,1,3.354,3.354,0.0,0.0,3.354,3.354,3.354,3.354
postcopy,cpu,False,latency_vip_avg_ms,1,4.28,4.28,0.0,0.0,4.28,4.28,4.28,4.28
postcopy,cpu,False,latency_delta_dst_src_p50_ms,1,-1.6200000000000006,-1.6200000000000006,0.0,0.0,-1.6200000000000006,-1.6200000000000006,-1.6200000000000006,-1.6200000000000006
postcopy,cpu,False,dl_avg_bps,0,,,,,,,,
postcopy,cpu,False,stream_disconnects,1,44.0,44.0,0.0,0.0,44.0,44.0,44.0,44.0
postcopy,cpu,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,cpu,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
