method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,download,False,vip_http_client_visible_total_down_ms,1,10896.0,10896.0,0.0,0.0,10896.0,10896.0,10896.0,10896.0
postcopy,download,False,vip_http_client_visible_down_segments,1,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,download,False,vip_http_client_visible_outage_span_ms,1,15596.0,15596.0,0.0,0.0,15596.0,15596.0,15596.0,15596.0
postcopy,download,False,vip_http_cutover_near_downtime_ms,1,1213.0,1213.0,0.0,0.0,1213.0,1213.0,1213.0,1213.0
postcopy,download,False,vip_http_downtime_ms,1,1213.0,1213.0,0.0,0.0,1213.0,1213.0,1213.0,1213.0
postcopy,download,False,vip_l4_downtime_ms,1,1160.0,1160.0,0.0,0.0,1160.0,1160.0,1160.0,1160.0
postcopy,download,False,http_downtime_ms,1,13880.0,13880.0,0.0,0.0,13880.0,13880.0,13880.0,13880.0
postcopy,download,False,l4_downtime_ms,1,3706.0,3706.0,0.0,0.0,3706.0,3706.0,3706.0,3706.0
postcopy,download,False,vip_http_downphase_ms,1,5850.0,5850.0,0.0,0.0,5850.0,5850.0,5850.0,5850.0
postcopy,download,False,postcopy_restore_to_readiness_ms,1,3853.0,3853.0,0.0,0.0,3853.0,3853.0,3853.0,3853.0
postcopy,download,False,postcopy_readiness_gate_ms,1,2509.0,2509.0,0.0,0.0,2509.0,2509.0,2509.0,2509.0
postcopy,download,False,postcopy_warmup_duration_ms,1,1091.0,1091.0,0.0,0.0,1091.0,1091.0,1091.0,1091.0
postcopy,download,False,postcopy_cutover_to_health_ok_ms,1,3293.0,3293.0,0.0,0.0,3293.0,3293.0,3293.0,3293.0
postcopy,download,False,latency_src_p50_ms,1,8.315,8.315,0.0,0.0,8.315,8.315,8.315,8.315
postcopy,download,False,latency_dst_p50_ms,1,5.08,5.08,0.0,0.0,5.08,5.08,5.08,5.08
postcopy,download,False,latency_vip_p50_ms,1,7.54,7.54,0.0,0.0,7.54,7.54,7.54,7.54
postcopy,download,False,latency_src_avg_ms,1,9.465,9.465,0.0,0.0,9.465,9.465,9.465,9.465
postcopy,download,False,latency_dst_avg_ms,1,5.97,5.97,0.0,0.0,5.97,5.97,5.97,5.97
postcopy,download,False,latency_vip_avg_ms,1,9.707,9.707,0.0,0.0,9.707,9.707,9.707,9.707
postcopy,download,False,latency_delta_dst_src_p50_ms,1,-3.2349999999999994,-3.2349999999999994,0.0,0.0,-3.2349999999999994,-3.2349999999999994,-3.2349999999999994,-3.2349999999999994
postcopy,download,False,dl_avg_bps,1,44962024.936,44962024.936,0.0,0.0,44962024.936,44962024.936,44962024.936,44962024.936
postcopy,download,False,stream_disconnects,1,53.0,53.0,0.0,0.0,53.0,53.0,53.0,53.0
postcopy,download,False,download_disconnects,1,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,download,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
