method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,stream,False,vip_http_client_visible_total_down_ms,1,9352.0,9352.0,0.0,0.0,9352.0,9352.0,9352.0,9352.0
postcopy,stream,False,vip_http_client_visible_down_segments,1,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,stream,False,vip_http_client_visible_outage_span_ms,1,12563.0,12563.0,0.0,0.0,12563.0,12563.0,12563.0,12563.0
postcopy,stream,False,vip_http_cutover_near_downtime_ms,1,1313.0,1313.0,0.0,0.0,1313.0,1313.0,1313.0,1313.0
postcopy,stream,False,vip_http_downtime_ms,1,1313.0,1313.0,0.0,0.0,1313.0,1313.0,1313.0,1313.0
postcopy,stream,False,vip_l4_downtime_ms,1,1310.0,1310.0,0.0,0.0,1310.0,1310.0,1310.0,1310.0
postcopy,stream,False,http_downtime_ms,1,10901.0,10901.0,0.0,0.0,10901.0,10901.0,10901.0,10901.0
postcopy,stream,False,l4_downtime_ms,1,2251.0,2251.0,0.0,0.0,2251.0,2251.0,2251.0,2251.0
postcopy,stream,False,vip_http_downphase_ms,1,7201.0,7201.0,0.0,0.0,7201.0,7201.0,7201.0,7201.0
postcopy,stream,False,postcopy_restore_to_readiness_ms,1,3100.0,3100.0,0.0,0.0,3100.0,3100.0,3100.0,3100.0
postcopy,stream,False,postcopy_readiness_gate_ms,1,1756.0,1756.0,0.0,0.0,1756.0,1756.0,1756.0,1756.0
postcopy,stream,False,postcopy_warmup_duration_ms,1,549.0,549.0,0.0,0.0,549.0,549.0,549.0,549.0
postcopy,stream,False,postcopy_cutover_to_health_ok_ms,1,3363.0,3363.0,0.0,0.0,3363.0,3363.0,3363.0,3363.0
postcopy,stream,False,latency_src_p50_ms,1,5.475,5.475,0.0,0.0,5.475,5.475,5.475,5.475
postcopy,stream,False,latency_dst_p50_ms,1,3.37,3.37,0.0,0.0,3.37,3.37,3.37,3.37
postcopy,stream,False,latency_vip_p50_ms,1,4.05,4.05,0.0,0.0,4.05,4.05,4.05,4.05
postcopy,stream,False,latency_src_avg_ms,1,5.408,5.408,0.0,0.0,5.408,5.408,5.408,5.408
postcopy,stream,False,latency_dst_avg_ms,1,4.309,4.309,0.0,0.0,4.309,4.309,4.309,4.309
postcopy,stream,False,latency_vip_avg_ms,1,4.728,4.728,0.0,0.0,4.728,4.728,4.728,4.728
postcopy,stream,False,latency_delta_dst_src_p50_ms,1,-2.1049999999999995,-2.1049999999999995,0.0,0.0,-2.1049999999999995,-2.1049999999999995,-2.1049999999999995,-2.1049999999999995
postcopy,stream,False,dl_avg_bps,0,,,,,,,,
postcopy,stream,False,stream_disconnects,1,47.0,47.0,0.0,0.0,47.0,47.0,47.0,47.0
postcopy,stream,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,stream,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
