method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,upload,False,vip_http_client_visible_total_down_ms,100,9737.7,9691.0,422.39068276761134,426.0,8945.0,10780.0,9654.91294743702,9820.487052562981
postcopy,upload,False,vip_http_client_visible_down_segments,100,2.56,2.0,0.7291893935852136,1.0,2.0,5.0,2.417081505066438,2.702918494933562
postcopy,upload,False,vip_http_client_visible_outage_span_ms,100,14377.05,14315.5,587.0489177387025,557.5,13114.0,17199.0,14261.990526406891,14492.109473593107
postcopy,upload,False,vip_http_cutover_near_downtime_ms,100,1348.59,1267.5,217.67049952539816,102.0,1162.0,2010.0,1305.9273660433375,1391.2526339566623
postcopy,upload,False,vip_http_downtime_ms,100,1348.59,1267.5,217.67049952539816,102.0,1162.0,2010.0,1305.9273660433375,1391.2526339566623
postcopy,upload,False,vip_l4_downtime_ms,100,1347.18,1261.0,218.66733093025493,111.25,1160.0,2015.0,1304.32199067812,1390.03800932188
postcopy,upload,False,http_downtime_ms,100,12522.93,12451.5,541.8255944937308,506.25,11440.0,15312.0,12416.73413488903,12629.125865110971
postcopy,upload,False,l4_downtime_ms,100,3515.78,3453.0,351.7322667523517,302.0,2950.0,4896.0,3446.841742496476,3584.7182575035245
postcopy,upload,False,vip_http_downphase_ms,100,5896.82,5934.0,402.17008261870416,365.75,4023.0,6559.0,5817.996112240784,5975.643887759215
postcopy,upload,False,postcopy_restore_to_readiness_ms,100,3984.22,3968.0,421.83051266372536,426.75,2844.0,6480.0,3901.542738759903,4066.8972612400967
postcopy,upload,False,postcopy_readiness_gate_ms,100,2396.66,2358.0,229.69084272631164,115.5,2110.0,3691.0,2351.6414220677775,2441.678577932222
postcopy,upload,False,postcopy_warmup_duration_ms,100,1020.11,994.0,221.99599118229617,211.25,741.0,2057.0,976.5995852570428,1063.620414742957
postcopy,upload,False,postcopy_cutover_to_health_ok_ms,100,3610.36,3581.5,210.65489610385333,207.0,3295.0,4392.0,3569.0723990469423,3651.647600953058
postcopy,upload,False,latency_src_p50_ms,100,6.00125,6.025,0.5534325280748441,0.7924999999999995,4.57,7.41,5.892779217710035,6.109720782289965
postcopy,upload,False,latency_dst_p50_ms,100,4.9216500000000005,4.797499999999999,0.7567951616300587,0.8687499999999995,3.54,8.18,4.773320873953092,5.069979126046909
postcopy,upload,False,latency_vip_p50_ms,100,6.313000000000001,6.265,0.6031453750418247,0.754999999999999,4.74,8.08,6.194785678747612,6.431214321252389
postcopy,upload,False,latency_src_avg_ms,100,7.86259,7.842,0.6937591072475293,0.8702499999999995,5.959,9.774,7.726615713584819,7.998564286415181
postcopy,upload,False,latency_dst_avg_ms,100,7.37972,7.3525,0.8077347309330926,0.9805000000000001,5.309,10.566,7.221406901830899,7.538033098169101
postcopy,upload,False,latency_vip_avg_ms,100,8.668289999999999,8.679,0.6580753740102936,0.9627499999999998,7.046,10.093,8.539309596782708,8.79727040321729
postcopy,upload,False,latency_delta_dst_src_p50_ms,100,-1.0796000000000001,-1.08,0.9078397825095962,1.2462499999999992,-2.7249999999999996,1.42,-1.2575333277451484,-0.9016666722548518
postcopy,upload,False,dl_avg_bps,0,,,,,,,,
postcopy,upload,False,stream_disconnects,100,51.49,51.0,1.5208649851417788,1.5,48.0,56.0,51.191915940377406,51.7880840596226
postcopy,upload,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,upload,False,upload_disconnects,100,2.45,3.0,0.6092717958449425,1.0,1.0,3.0,2.330584922334787,2.569415077665213
