run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,client_visible_vip_http,1777976275105,1777976282218,7113,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1777976275105,1777976282218,7113,0,7113,observed_down,,,,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,1,final_dump,Final dump,dump,1777976274652,1777976275133,481,0,481,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,2,unknown_gap,Unknown / not explained by markers,unknown,1777976275133,1777976275155,22,481,503,unknown,,,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,3,transfer,Transfer,transfer,1777976275155,1777976275207,52,503,555,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,4,unknown_gap,Unknown / not explained by markers,unknown,1777976275207,1777976275264,57,555,612,unknown,,,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,5,restore,Restore,restore,1777976275264,1777976281512,6248,612,6860,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,6,restore_to_cutover,Restore to cutover,handoff,1777976281512,1777976281556,44,6860,6904,event,restore_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,7,vip_cutover,VIP cutover,cutover,1777976281556,1777976282450,894,6904,7798,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,8,unknown_gap,Unknown / not explained by markers,unknown,1777976282450,1777976282550,100,7798,7898,unknown,,,unknown_present,True
20260505_101737_precopy_01_cb1f07,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0001,0001,1,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976274652,1777976282681,8029,,9,health_wait,Health wait,health,1777976282550,1777976282681,131,7898,8029,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
20260505_101812_precopy_02_da492f,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0002,0002,2,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,client_visible_vip_http,1777976308041,1777976309753,1712,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1777976308041,1777976309753,1712,0,1712,observed_down,,,,True
20260505_101812_precopy_02_da492f,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_101737_precopy_download_43d02c\runs\0002,0002,2,20260505_101737_precopy_download_43d02c,/mnt/criu/runs/batches/20260505_101737_precopy_download_43d02c,,precopy,download,False,False,event_critical_path,1777976307580,1777976310102,2522,,1,final_dump,Final dump,dump,1777976307580,1777976308101,521,0,521,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
