run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,analysis_source,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0001,0001,1,20260511_062601_precopy_01_62838c,precopy,wrk1,ok,2026-05-11T06:26:01Z,2026-05-11T06:26:34Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0001\summary.json,,False,,,1778480784928.0,1778480784928.0,events(offset_corrected),7780.0,7106.0,7962.0,1.0,7962.0,7962.0,7962.0,7649.0,8039.0,7701.0,7950.0,7638.0,200.0,74.0,148.0,12.0,0.0,0.0,200.0,75.0,59.0,63.0,141.0,12.0,1778480777597.0,1778480785559.0,403.0,73.0,299.0,145.0,91.0,7144.0,194.0,103.0,6965.0,76.0,33.0,109.0,shared,inventory_only,,,,926.0,1089.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.51,11.001,9.15,9.634,9.595,10.166,36.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-1.3599999999999994,-1.366999999999999,313.0,313.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0002,0002,2,20260511_062635_precopy_02_b4ca31,precopy,wrk1,ok,2026-05-11T06:26:35Z,2026-05-11T06:27:01Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0002\summary.json,,False,,,1778480811700.0,1778480811700.0,events(offset_corrected),2158.0,1650.0,2459.0,1.0,2459.0,2459.0,2459.0,2049.0,2529.0,2100.0,2447.0,2039.0,143.0,72.0,41.0,9.0,0.0,0.0,143.0,72.0,111.0,63.0,32.0,9.0,1778480809726.0,1778480812185.0,546.0,91.0,369.0,128.0,95.0,1519.0,179.0,84.0,1379.0,56.0,37.0,93.0,shared,inventory_only,,,,904.0,1059.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,10.01,11.002,8.3,9.759,8.97,10.487,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-1.709999999999999,-1.2430000000000003,410.0,410.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0003,0003,3,20260511_062702_precopy_03_ff6356,precopy,wrk1,ok,2026-05-11T06:27:02Z,2026-05-11T06:27:29Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0003\summary.json,,False,,,1778480839895.0,1778480839895.0,events(offset_corrected),2154.0,1700.0,2419.0,1.0,2419.0,2419.0,2419.0,2147.0,2490.0,2200.0,2400.0,2137.0,137.0,73.0,40.0,9.0,0.0,0.0,136.0,74.0,103.0,64.0,33.0,10.0,1778480837966.0,1778480840385.0,394.0,80.0,300.0,109.0,108.0,1652.0,239.0,131.0,1466.0,55.0,24.0,79.0,shared,inventory_only,,,,915.0,1077.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.02,14.872,8.34,9.424,11.31,12.766,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-4.68,-5.448,272.0,272.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0004,0004,4,20260511_062730_precopy_04_97c7f1,precopy,wrk1,ok,2026-05-11T06:27:30Z,2026-05-11T06:27:55Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0004\summary.json,,False,,,1778480866611.0,1778480866611.0,events(offset_corrected),2158.0,1700.0,2512.0,1.0,2512.0,2512.0,2512.0,2142.0,2560.0,2193.0,2499.0,2132.0,142.0,71.0,42.0,10.0,0.0,0.0,141.0,71.0,109.0,60.0,32.0,11.0,1778480864631.0,1778480867143.0,506.0,69.0,324.0,141.0,84.0,1607.0,208.0,124.0,1426.0,57.0,29.0,86.0,shared,inventory_only,,,,873.0,1009.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,16.67,18.223,5.935,7.093,10.93,14.268,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-10.735000000000003,-11.129999999999999,370.0,370.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0005,0005,5,20260511_062757_precopy_05_43d8a2,precopy,wrk1,ok,2026-05-11T06:27:57Z,2026-05-11T06:28:23Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0005\summary.json,,False,,,1778480893626.0,1778480893626.0,events(offset_corrected),2025.0,1554.0,2362.0,1.0,2362.0,2362.0,2362.0,2000.0,2433.0,2050.0,2350.0,1989.0,153.0,71.0,41.0,10.0,0.0,0.0,152.0,71.0,122.0,61.0,30.0,10.0,1778480891779.0,1778480894141.0,476.0,66.0,303.0,143.0,72.0,1522.0,163.0,91.0,1376.0,55.0,34.0,89.0,shared,inventory_only,,,,886.0,1019.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,18.51,19.2,9.395,9.391,13.51,16.29,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-9.115000000000002,-9.809,362.0,362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0006,0006,6,20260511_062825_precopy_06_0846a5,precopy,wrk1,ok,2026-05-11T06:28:25Z,2026-05-11T06:28:50Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0006\summary.json,,False,,,1778480921349.0,1778480921349.0,events(offset_corrected),2183.0,1706.0,2610.0,1.0,2610.0,2610.0,2610.0,2149.0,2682.0,2200.0,2598.0,2139.0,141.0,72.0,44.0,10.0,0.0,0.0,140.0,73.0,107.0,63.0,33.0,10.0,1778480919284.0,1778480921894.0,545.0,76.0,289.0,133.0,104.0,1621.0,216.0,112.0,1449.0,60.0,38.0,98.0,shared,inventory_only,,,,907.0,1059.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.38,15.45,7.88,9.752,12.19,13.906,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-5.500000000000001,-5.697999999999999,461.0,461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0007,0007,7,20260511_062851_precopy_07_2c3253,precopy,wrk1,ok,2026-05-11T06:28:52Z,2026-05-11T06:29:17Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0007\summary.json,,False,,,1778480948097.0,1778480948097.0,events(offset_corrected),1948.0,1610.0,2312.0,1.0,2312.0,2312.0,2312.0,2047.0,2374.0,2100.0,2300.0,2036.0,137.0,70.0,38.0,10.0,0.0,0.0,137.0,69.0,105.0,60.0,32.0,9.0,1778480946297.0,1778480948609.0,387.0,66.0,291.0,140.0,74.0,1562.0,141.0,67.0,1408.0,87.0,39.0,126.0,shared,inventory_only,,,,876.0,988.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,16.15,17.719,8.39,9.019,12.97,14.796,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-7.759999999999998,-8.700000000000001,265.0,265.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0008,0008,8,20260511_062919_precopy_08_e34ff3,precopy,wrk1,ok,2026-05-11T06:29:19Z,2026-05-11T06:29:46Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0008\summary.json,,False,,,1778480976891.0,1778480976891.0,events(offset_corrected),1886.0,1501.0,2211.0,1.0,2211.0,2211.0,2211.0,1945.0,2285.0,2000.0,2199.0,1935.0,135.0,72.0,37.0,9.0,0.0,0.0,134.0,73.0,105.0,63.0,29.0,10.0,1778480975171.0,1778480977382.0,395.0,72.0,334.0,141.0,69.0,1494.0,154.0,85.0,1340.0,69.0,30.0,99.0,shared,inventory_only,,,,907.0,1059.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.445,15.241,8.43,8.778,11.73,12.697,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-6.015000000000001,-6.462999999999999,266.0,266.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0009,0009,9,20260511_062947_precopy_09_0bee6d,precopy,wrk1,ok,2026-05-11T06:29:47Z,2026-05-11T06:30:13Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0009\summary.json,,False,,,1778481003784.0,1778481003784.0,events(offset_corrected),2176.0,1650.0,2513.0,1.0,2513.0,2513.0,2513.0,2099.0,2582.0,2149.0,2500.0,2089.0,142.0,73.0,42.0,10.0,0.0,0.0,141.0,73.0,109.0,63.0,32.0,10.0,1778481001815.0,1778481004328.0,515.0,71.0,304.0,139.0,88.0,1591.0,238.0,150.0,1387.0,54.0,26.0,80.0,shared,inventory_only,,,,925.0,1084.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.58,16.755,6.32,7.278,11.18,13.82,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-8.26,-9.477,414.0,414.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0010,0010,10,20260511_063014_precopy_10_cb35bb,precopy,wrk1,ok,2026-05-11T06:30:14Z,2026-05-11T06:30:40Z,,True,True,False,20260511_062601_precopy_wrk1_b1b5d1,/mnt/criu/runs/batches/20260511_062601_precopy_wrk1_b1b5d1,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_062601_precopy_wrk1_b1b5d1\runs\0010\summary.json,,False,,,1778481031355.0,1778481031355.0,events(offset_corrected),2097.0,1651.0,2412.0,1.0,2412.0,2412.0,2412.0,2097.0,2487.0,2150.0,2400.0,2087.0,139.0,70.0,43.0,9.0,0.0,0.0,138.0,71.0,106.0,61.0,32.0,10.0,1778481029440.0,1778481031852.0,486.0,87.0,287.0,145.0,97.0,1562.0,190.0,93.0,1398.0,71.0,23.0,94.0,shared,inventory_only,,,,889.0,1022.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,16.23,16.842,9.41,9.794,12.87,14.902,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260511_062601_precopy_wrk1_b1b5d1,-6.82,-7.047999999999998,315.0,315.0
