method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,stream,False,vip_http_client_visible_total_down_ms,1,1564.0,1564.0,0.0,0.0,1564.0,1564.0,1564.0,1564.0
precopy,stream,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,stream,False,vip_http_client_visible_outage_span_ms,1,1564.0,1564.0,0.0,0.0,1564.0,1564.0,1564.0,1564.0
precopy,stream,False,vip_http_cutover_near_downtime_ms,1,1564.0,1564.0,0.0,0.0,1564.0,1564.0,1564.0,1564.0
precopy,stream,False,vip_http_downtime_ms,1,1564.0,1564.0,0.0,0.0,1564.0,1564.0,1564.0,1564.0
precopy,stream,False,vip_l4_downtime_ms,1,1350.0,1350.0,0.0,0.0,1350.0,1350.0,1350.0,1350.0
precopy,stream,False,http_downtime_ms,1,1319.0,1319.0,0.0,0.0,1319.0,1319.0,1319.0,1319.0
precopy,stream,False,l4_downtime_ms,1,951.0,951.0,0.0,0.0,951.0,951.0,951.0,951.0
precopy,stream,False,vip_http_downphase_ms,1,1549.0,1549.0,0.0,0.0,1549.0,1549.0,1549.0,1549.0
precopy,stream,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,stream,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,stream,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,stream,False,postcopy_cutover_to_health_ok_ms,1,1034.0,1034.0,0.0,0.0,1034.0,1034.0,1034.0,1034.0
precopy,stream,False,latency_src_p50_ms,1,5.91,5.91,0.0,0.0,5.91,5.91,5.91,5.91
precopy,stream,False,latency_dst_p50_ms,1,6.29,6.29,0.0,0.0,6.29,6.29,6.29,6.29
precopy,stream,False,latency_vip_p50_ms,1,5.39,5.39,0.0,0.0,5.39,5.39,5.39,5.39
precopy,stream,False,latency_src_avg_ms,1,5.764,5.764,0.0,0.0,5.764,5.764,5.764,5.764
precopy,stream,False,latency_dst_avg_ms,1,6.022,6.022,0.0,0.0,6.022,6.022,6.022,6.022
precopy,stream,False,latency_vip_avg_ms,1,5.074,5.074,0.0,0.0,5.074,5.074,5.074,5.074
precopy,stream,False,latency_delta_dst_src_p50_ms,1,0.3799999999999999,0.3799999999999999,0.0,0.0,0.3799999999999999,0.3799999999999999,0.3799999999999999,0.3799999999999999
precopy,stream,False,dl_avg_bps,0,,,,,,,,
precopy,stream,False,stream_disconnects,1,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0
precopy,stream,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,stream,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
