method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,stream,False,vip_http_client_visible_total_down_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,stream,False,vip_http_client_visible_outage_span_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_cutover_near_downtime_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_http_downtime_ms,100,1691.23,1613.0,554.5664400814807,149.5,1511.0,7113.0,1582.5369750405707,1799.9230249594293
precopy,stream,False,vip_l4_downtime_ms,100,1414.85,1350.0,555.5803658601453,51.0,1299.0,6900.0,1305.9582492396528,1523.741750760347
precopy,stream,False,http_downtime_ms,100,1434.26,1350.5,565.8940297699676,144.25,1263.0,6980.0,1323.3468082584627,1545.1731917415373
precopy,stream,False,l4_downtime_ms,100,1004.83,951.0,541.6104503229142,57.5,850.0,6351.0,898.6763023716569,1110.9836976283432
precopy,stream,False,vip_http_downphase_ms,100,1677.79,1600.0,554.5757190698293,150.0,1499.0,7100.0,1569.095156392273,1786.4848436077268
precopy,stream,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,stream,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,stream,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,stream,False,postcopy_cutover_to_health_ok_ms,100,1006.53,1012.5,36.976775402837916,43.25,910.0,1103.0,999.2826851946011,1013.7773148053989
precopy,stream,False,latency_src_p50_ms,100,5.899349999999999,5.967499999999999,0.2641602427285072,0.27500000000000036,4.305,6.25,5.847575543810476,5.951124456189523
precopy,stream,False,latency_dst_p50_ms,100,5.8453,5.8825,0.2664315440723333,0.2575000000000003,4.72,6.295,5.793080376927283,5.897519623072717
precopy,stream,False,latency_vip_p50_ms,100,5.503349999999999,5.505,0.1255554427012991,0.14999999999999947,5.13,5.79,5.478741585424246,5.527958414575752
precopy,stream,False,latency_src_avg_ms,100,5.617009999999999,5.641500000000001,0.2758614604353703,0.36024999999999974,4.718,6.113,5.562942147282404,5.671077852717594
precopy,stream,False,latency_dst_avg_ms,100,5.699699999999999,5.7265,0.34589282803326304,0.4059999999999997,4.454,6.683,5.631906251454409,5.767493748545589
precopy,stream,False,latency_vip_avg_ms,100,5.304819999999999,5.3175,0.21179594620361086,0.25925000000000065,4.604,5.909,5.263308757336933,5.346331242663066
precopy,stream,False,latency_delta_dst_src_p50_ms,100,-0.054050000000000056,-0.054999999999999716,0.34755545666058174,0.40624999999999956,-1.4300000000000006,0.7599999999999998,-0.12216961776851122,0.014069617768511108
precopy,stream,False,dl_avg_bps,0,,,,,,,,
precopy,stream,False,stream_disconnects,100,25.45,25.0,2.2219065432345904,0.0,25.0,47.0,25.01451431982463,25.885485680175368
precopy,stream,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,stream,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
