run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0001,0001,1,20260511_113015_precopy_01_452f71,precopy,wrk3,ok,2026-05-11T11:30:15Z,2026-05-11T11:30:48Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0001\summary.json,,False,,,1778499039322.0,1778499039322.0,events(offset_corrected),9847.0,6954.0,8383.0,1.0,8383.0,8912.0,8912.0,7500.0,8966.0,7550.0,8900.0,7489.0,200.0,74.0,196.0,50.0,0.0,0.0,200.0,74.0,62.0,62.0,138.0,12.0,1778499031010.0,1778499039922.0,544.0,87.0,302.0,161.0,90.0,6982.0,251.0,161.0,6755.0,66.0,45.0,111.0,shared,inventory_only,,,,902.0,1027.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.47,9.743,9.04,18.954,5.765,12.126,36.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,2.5699999999999994,9.211,883.0,1412.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0002,0002,2,20260511_113049_precopy_02_b5f17c,precopy,wrk3,ok,2026-05-11T11:30:50Z,2026-05-11T11:31:15Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0002\summary.json,,False,,,1778499066374.0,1778499066374.0,events(offset_corrected),2844.0,2053.0,3114.0,1.0,3114.0,4957.0,4957.0,2499.0,5017.0,2550.0,4945.0,2488.0,147.0,75.0,101.0,48.0,0.0,0.0,147.0,74.0,107.0,64.0,40.0,10.0,1778499061949.0,1778499066906.0,397.0,91.0,294.0,140.0,95.0,1924.0,266.0,171.0,1663.0,90.0,34.0,124.0,shared,inventory_only,,,,969.0,1152.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.96,13.087,5.7,15.379,6.34,12.683,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.2599999999999998,2.292,615.0,2458.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0003,0003,3,20260511_113117_precopy_03_dea064,precopy,wrk3,ok,2026-05-11T11:31:17Z,2026-05-11T11:31:44Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0003\summary.json,,False,,,1778499095019.0,1778499095019.0,events(offset_corrected),5765.0,2201.0,3292.0,1.0,3292.0,6261.0,6261.0,2642.0,6321.0,2700.0,6249.0,2632.0,148.0,71.0,142.0,43.0,0.0,0.0,147.0,71.0,104.0,61.0,43.0,10.0,1778499089299.0,1778499095560.0,404.0,89.0,298.0,170.0,123.0,2077.0,287.0,164.0,1817.0,96.0,30.0,126.0,shared,inventory_only,,,,890.0,1039.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,37.97,37.438,3.8,10.872,18.65,21.106,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-34.17,-26.566000000000003,650.0,3619.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0004,0004,4,20260511_113145_precopy_04_a54390,precopy,wrk3,ok,2026-05-11T11:31:45Z,2026-05-11T11:32:11Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0004\summary.json,,False,,,1778499122224.0,1778499122224.0,events(offset_corrected),5933.0,2149.0,3370.0,1.0,3370.0,6215.0,6215.0,2596.0,6257.0,2647.0,6202.0,2586.0,153.0,72.0,143.0,27.0,0.0,0.0,152.0,73.0,110.0,63.0,42.0,10.0,1778499116560.0,1778499122775.0,495.0,108.0,316.0,145.0,111.0,2042.0,232.0,121.0,1800.0,121.0,33.0,154.0,shared,inventory_only,,,,923.0,1057.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,34.78,34.724,18.055,18.859,31.53,24.303,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-16.725,-15.864999999999995,774.0,3619.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0005,0005,5,20260511_113212_precopy_05_226456,precopy,wrk3,ok,2026-05-11T11:32:12Z,2026-05-11T11:32:40Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0005\summary.json,,False,,,1778499151369.0,1778499151369.0,events(offset_corrected),5977.0,2152.0,3350.0,2.0,3414.0,3303.0,3303.0,2650.0,3367.0,2700.0,3291.0,2640.0,151.0,72.0,139.0,42.0,0.0,0.0,151.0,72.0,109.0,61.0,42.0,11.0,1778499148645.0,1778499151948.0,557.0,87.0,350.0,133.0,107.0,2017.0,237.0,130.0,1811.0,76.0,41.0,117.0,shared,inventory_only,,,,930.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,38.61,39.816,4.965,13.877,32.69,25.113,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-33.644999999999996,-25.939,700.0,653.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0006,0006,6,20260511_113242_precopy_06_6a7459,precopy,wrk3,ok,2026-05-11T11:32:42Z,2026-05-11T11:33:08Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0006\summary.json,,False,,,1778499178885.0,1778499178885.0,events(offset_corrected),2555.0,2051.0,3190.0,2.0,3302.0,3111.0,3111.0,2547.0,3185.0,2600.0,3255.0,2537.0,148.0,72.0,138.0,34.0,0.0,0.0,147.0,73.0,107.0,62.0,40.0,11.0,1778499176369.0,1778499179480.0,519.0,100.0,317.0,137.0,92.0,1919.0,199.0,107.0,1720.0,92.0,51.0,143.0,shared,inventory_only,,,,935.0,1088.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,36.52,36.127,5.19,15.032,28.28,23.279,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-31.330000000000002,-21.095000000000002,643.0,564.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0007,0007,7,20260511_113309_precopy_07_3b7f60,precopy,wrk3,ok,2026-05-11T11:33:09Z,2026-05-11T11:33:37Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0007\summary.json,,False,,,1778499208352.0,1778499208352.0,events(offset_corrected),3132.0,2206.0,3373.0,2.0,3429.0,3257.0,3257.0,2646.0,3313.0,2699.0,3248.0,2636.0,188.0,72.0,171.0,46.0,0.0,0.0,188.0,72.0,145.0,62.0,43.0,10.0,1778499205663.0,1778499208920.0,534.0,81.0,340.0,124.0,98.0,2049.0,227.0,129.0,1845.0,75.0,68.0,143.0,shared,inventory_only,,,,933.0,1070.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,37.71,37.055,5.31,13.546,32.48,24.119,31.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-32.4,-23.509,727.0,611.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0008,0008,8,20260511_113339_precopy_08_c6dd41,precopy,wrk3,ok,2026-05-11T11:33:39Z,2026-05-11T11:34:05Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0008\summary.json,,False,,,1778499235834.0,1778499235834.0,events(offset_corrected),3627.0,2154.0,3317.0,2.0,3364.0,3013.0,3013.0,2598.0,3060.0,2649.0,3000.0,2588.0,151.0,74.0,129.0,32.0,0.0,0.0,151.0,74.0,109.0,64.0,42.0,10.0,1778499233377.0,1778499236390.0,511.0,79.0,346.0,145.0,109.0,2055.0,216.0,107.0,1849.0,99.0,35.0,134.0,shared,inventory_only,,,,913.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,34.51,35.119,24.53,21.109,31.77,26.919,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-9.979999999999997,-14.009999999999998,719.0,415.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0009,0009,9,20260511_113406_precopy_09_88fec8,precopy,wrk3,ok,2026-05-11T11:34:06Z,2026-05-11T11:34:32Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0009\summary.json,,False,,,1778499263223.0,1778499263223.0,events(offset_corrected),2578.0,2052.0,3005.0,2.0,3162.0,2912.0,2912.0,2550.0,2967.0,2600.0,2900.0,2540.0,146.0,73.0,131.0,48.0,0.0,0.0,146.0,73.0,106.0,62.0,40.0,11.0,1778499260866.0,1778499263778.0,413.0,83.0,345.0,151.0,83.0,1971.0,194.0,111.0,1786.0,74.0,40.0,114.0,shared,inventory_only,,,,909.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,39.7,38.914,5.73,16.901,34.325,24.607,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-33.97,-22.013,455.0,362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0010,0010,10,20260511_113435_precopy_10_34d244,precopy,wrk3,ok,2026-05-11T11:34:35Z,2026-05-11T11:35:01Z,,True,True,False,20260511_113015_precopy_wrk3_878dfd,/mnt/criu/runs/batches/20260511_113015_precopy_wrk3_878dfd,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260511_113015_precopy_wrk3_878dfd\runs\0010\summary.json,,False,,,1778499292169.0,1778499292169.0,events(offset_corrected),2801.0,2000.0,3133.0,1.0,3133.0,3162.0,3162.0,2446.0,3209.0,2499.0,3150.0,2436.0,145.0,70.0,137.0,38.0,0.0,0.0,144.0,70.0,106.0,59.0,38.0,11.0,1778499289534.0,1778499292696.0,505.0,81.0,311.0,134.0,103.0,1855.0,232.0,129.0,1648.0,78.0,30.0,108.0,shared,inventory_only,,,,872.0,990.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,36.12,36.461,4.71,15.338,32.18,23.117,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-31.409999999999997,-21.122999999999998,687.0,716.0
