run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,client_visible_vip_http,1777979113842,1777979127713,9240,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1777979113842,1777979121919,8077,0,8077,observed_down,,,multiple_down_segments,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,client_visible_vip_http,1777979113842,1777979127713,9240,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1777979126550,1777979127713,1163,12708,13871,observed_down,,,multiple_down_segments,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,1,transfer,Transfer,transfer,1777979113969,1777979116084,2115,0,2115,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,2,transfer_to_restore,Transfer to restore,handoff,1777979116084,1777979119021,2937,2115,5052,event,transfer_done_ms_event,restore_start_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,3,restore,Restore,restore,1777979119021,1777979120758,1737,5052,6789,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,4,unknown_gap,Unknown / not explained by markers,unknown,1777979120758,1777979122295,1537,6789,8326,unknown,,,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,5,readiness_gate,Readiness gate,readiness,1777979122295,1777979124807,2512,8326,10838,event,dest_readiness_wait_start_ms_event,dest_readiness_ok_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,6,unknown_gap,Unknown / not explained by markers,unknown,1777979124807,1777979124901,94,10838,10932,unknown,,,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,7,warmup,Warmup,warmup,1777979124901,1777979125915,1014,10932,11946,event,postcopy_warmup_start_ms_event,postcopy_warmup_done_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,8,warmup_to_cutover,Warmup to cutover,handoff,1777979125915,1777979126018,103,11946,12049,event,postcopy_warmup_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,9,vip_cutover,VIP cutover,cutover,1777979126018,1777979128632,2614,12049,14663,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,10,unknown_gap,Unknown / not explained by markers,unknown,1777979128632,1777979128672,40,14663,14703,unknown,,,unknown_present,True
20260505_110456_postcopy_01_f8a7a1,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_110456_postcopy_download_aea1cc\runs\0001,0001,1,20260505_110456_postcopy_download_aea1cc,/mnt/criu/runs/batches/20260505_110456_postcopy_download_aea1cc,20260505_110456_postcopy_download_aea1cc,postcopy,download,False,False,event_critical_path,1777979113969,1777979129069,15100,,11,health_wait,Health wait,health,1777979128672,1777979129069,397,14703,15100,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
