method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,download,False,vip_http_client_visible_total_down_ms,100,9749.49,9727.0,417.1325031108402,542.5,8991.0,10982.0,9667.73353171217,9831.246468287829
postcopy,download,False,vip_http_client_visible_down_segments,100,2.27,2.0,0.5290548080293666,0.0,2.0,4.0,2.166307163041469,2.373692836958531
postcopy,download,False,vip_http_client_visible_outage_span_ms,100,14451.69,14421.0,463.9326556623267,602.0,13524.0,15652.0,14360.760870364982,14542.619129635019
postcopy,download,False,vip_http_cutover_near_downtime_ms,100,1312.07,1262.0,205.3418069384987,99.0,1154.0,2070.0,1271.8237453880165,1352.3162546119834
postcopy,download,False,vip_http_downtime_ms,100,1312.07,1262.0,205.3418069384987,99.0,1154.0,2070.0,1271.8237453880165,1352.3162546119834
postcopy,download,False,vip_l4_downtime_ms,100,1309.43,1259.0,209.57437651804977,99.25,1111.0,2063.0,1268.3541769942187,1350.5058230057814
postcopy,download,False,http_downtime_ms,100,12685.02,12628.0,432.7526640967427,529.0,11798.0,14038.0,12600.202036415663,12769.837963584338
postcopy,download,False,l4_downtime_ms,100,3669.04,3612.5,240.08718618388815,172.25,3359.0,4752.0,3621.9837761930016,3716.0962238069983
postcopy,download,False,vip_http_downphase_ms,100,5783.6,5805.0,247.18242557906802,202.75,4653.0,6200.0,5735.1531348253775,5832.046865174623
postcopy,download,False,postcopy_restore_to_readiness_ms,100,4008.33,3994.5,256.3221243165354,262.25,3142.0,5186.0,3958.0917867898793,4058.5682132101206
postcopy,download,False,postcopy_readiness_gate_ms,100,2537.06,2500.5,194.6476132228015,95.25,2351.0,3679.0,2498.9097688406628,2575.210231159337
postcopy,download,False,postcopy_warmup_duration_ms,100,1033.58,1022.0,115.7277526234426,73.5,890.0,2035.0,1010.8977772846291,1056.2622227153709
postcopy,download,False,postcopy_cutover_to_health_ok_ms,100,3391.07,3288.0,293.64374949275117,239.0,3029.0,4239.0,3333.516882670891,3448.6231173291094
postcopy,download,False,latency_src_p50_ms,100,7.907450000000001,7.8825,0.4878252579799782,0.5987500000000008,6.7,9.43,7.811838006361029,8.003061993638973
postcopy,download,False,latency_dst_p50_ms,100,5.1376,4.85,0.9214000326687752,0.9750000000000005,3.695,7.83,4.957008912061517,5.318191087938483
postcopy,download,False,latency_vip_p50_ms,100,7.295649999999999,7.245,0.9109939224647312,1.1025,5.57,9.59,7.117098472183424,7.474201527816574
postcopy,download,False,latency_src_avg_ms,100,9.209430000000001,9.214,0.46550709300327914,0.5365000000000002,8.085,10.974,9.118192286316564,9.300667713683438
postcopy,download,False,latency_dst_avg_ms,100,6.50464,6.218,0.8907738608149158,0.941250000000001,4.942,9.056,6.330051531443307,6.679228468556693
postcopy,download,False,latency_vip_avg_ms,100,9.33165,9.244,0.6010138130986288,0.8452500000000001,8.191,10.727,9.21385345721156,9.44944654278844
postcopy,download,False,latency_delta_dst_src_p50_ms,100,-2.76985,-2.9925,1.033810362765636,1.2512499999999993,-4.914999999999999,-0.29000000000000004,-2.9724731077864934,-2.5672268922135064
postcopy,download,False,dl_avg_bps,100,84591085.78899,97589871.7975,25938899.940213736,54836491.278500006,40478825.748,116906288.513,79507154.8208493,89675016.75713071
postcopy,download,False,stream_disconnects,100,50.92,51.0,1.6858292327576365,2.0,48.0,55.0,50.589583541971024,51.25041645802898
postcopy,download,False,download_disconnects,100,1.77,2.0,0.4461960433384737,0.0,1.0,3.0,1.682547182501232,1.8574528174987681
postcopy,download,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,download,False,vip_http_client_visible_total_down_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,download,False,vip_http_client_visible_outage_span_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_cutover_near_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_l4_downtime_ms,100,1411.34,1350.0,536.2348388758815,52.0,1251.0,6703.0,1306.2399028547634,1516.4400971452365
precopy,download,False,http_downtime_ms,100,1499.75,1447.0,549.8051146919372,70.5,1282.0,6909.0,1391.9901776687889,1607.5098223312111
precopy,download,False,l4_downtime_ms,100,1004.65,951.0,521.3531224446904,26.75,898.0,6153.0,902.4666656780906,1106.8333343219094
precopy,download,False,vip_http_downphase_ms,100,1752.56,1700.0,543.9994303324409,100.0,1541.0,7095.0,1645.9380708938108,1859.181929106189
precopy,download,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,download,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,download,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,download,False,postcopy_cutover_to_health_ok_ms,100,969.76,961.0,52.72227980539905,90.5,888.0,1125.0,959.4266230398574,980.0933769601426
precopy,download,False,latency_src_p50_ms,100,7.4357,7.46,0.502036267755044,0.6875,6.24,8.955,7.33730269962672,7.534097300373279
precopy,download,False,latency_dst_p50_ms,100,6.5752999999999995,6.4125,0.985968431276959,1.32625,4.64,8.685,6.38205373848037,6.768546261519629
precopy,download,False,latency_vip_p50_ms,100,7.1965499999999984,7.15,0.560719548095268,0.6912500000000001,6.06,8.69,7.086650988030568,7.306449011969429
precopy,download,False,latency_src_avg_ms,100,8.745159999999998,8.693,0.44970872099323783,0.5177500000000013,7.839,10.062,8.657018710331966,8.83330128966803
precopy,download,False,latency_dst_avg_ms,100,7.79032,7.711,0.8478592874487672,1.366249999999999,6.148,9.953,7.624142633264262,7.956497366735738
precopy,download,False,latency_vip_avg_ms,100,8.399830000000001,8.375499999999999,0.46753786763936855,0.6477500000000003,7.422,9.69,8.30819426180182,8.491465738198183
precopy,download,False,latency_delta_dst_src_p50_ms,100,-0.8603999999999999,-0.8725,1.058891091394362,1.4437500000000003,-3.1399999999999997,1.21,-1.0679388402683259,-0.6528611597316739
precopy,download,False,dl_avg_bps,100,267674291.36612004,269069775.9875,14316773.385040423,19992126.71874997,235674746.739,301401552.17,264868255.34516996,270480327.3870701
precopy,download,False,stream_disconnects,100,22.8,22.0,1.775250729197189,1.0,22.0,33.0,22.452057250724504,23.147942749275497
precopy,download,False,download_disconnects,100,3.79,4.0,1.2251159499855884,1.0,3.0,15.0,3.5498816861142672,4.030118313885732
precopy,download,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
