method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,idle,False,vip_http_client_visible_total_down_ms,100,1394.74,1386.5,81.03455055615713,100.0,1260.0,1611.0,1378.8575199406541,1410.622480059346
postcopy,idle,False,vip_http_client_visible_down_segments,100,1.01,1.0,0.09999999999999999,0.0,1.0,2.0,0.9904003601545994,1.0295996398454006
postcopy,idle,False,vip_http_client_visible_outage_span_ms,100,1408.73,1386.5,171.6178427186228,100.0,1260.0,2911.0,1375.093520916704,1442.366479083296
postcopy,idle,False,vip_http_cutover_near_downtime_ms,100,1394.23,1386.5,80.44746764507289,100.0,1260.0,1611.0,1378.4625860768206,1409.9974139231795
postcopy,idle,False,vip_http_downtime_ms,100,1394.23,1386.5,80.44746764507289,100.0,1260.0,1611.0,1378.4625860768206,1409.9974139231795
postcopy,idle,False,vip_l4_downtime_ms,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,idle,False,http_downtime_ms,100,2508.37,2500.0,90.94561089692091,101.0,2350.0,2801.0,2490.544987809004,2526.195012190996
postcopy,idle,False,l4_downtime_ms,100,660.81,650.0,26.788620756212925,1.0,650.0,850.0,655.559526812232,666.0604731877679
postcopy,idle,False,vip_http_downphase_ms,100,1382.93,1375.0,80.51491548875659,100.0,1250.0,1603.0,1367.1493665423752,1398.710633457625
postcopy,idle,False,postcopy_restore_to_readiness_ms,100,1296.53,1286.5,39.102676288577655,23.25,1255.0,1500.0,1288.866016277526,1304.193983722474
postcopy,idle,False,postcopy_readiness_gate_ms,0,,,,,,,,
postcopy,idle,False,postcopy_warmup_duration_ms,0,,,,,,,,
postcopy,idle,False,postcopy_cutover_to_health_ok_ms,100,1072.73,1073.0,12.488261154647057,18.25,1047.0,1112.0,1070.2823457907361,1075.177654209264
postcopy,idle,False,latency_src_p50_ms,100,0.9354500000000001,0.94,0.046259560846347955,0.061249999999999916,0.81,1.06,0.926383292680052,0.9445167073199482
postcopy,idle,False,latency_dst_p50_ms,100,1.08765,1.1075,0.08499392432237242,0.125,0.88,1.25,1.0709914969423426,1.1043085030576574
postcopy,idle,False,latency_vip_p50_ms,100,0.9647,0.9624999999999999,0.04364584282562998,0.05999999999999994,0.87,1.09,0.9561455719986869,0.9732544280013131
postcopy,idle,False,latency_src_avg_ms,100,0.9869199999999999,0.9715,0.06417741822558001,0.07850000000000001,0.852,1.168,0.9743414571657097,0.9994985428342901
postcopy,idle,False,latency_dst_avg_ms,100,1.3288700000000002,1.3195000000000001,0.17600474368033323,0.24024999999999985,0.899,1.691,1.2943737041278345,1.363366295872166
postcopy,idle,False,latency_vip_avg_ms,100,0.9938899999999999,0.9895,0.0491523903258781,0.06325000000000003,0.886,1.108,0.9842563085207223,1.0035236914792776
postcopy,idle,False,latency_delta_dst_src_p50_ms,100,0.15219999999999997,0.15749999999999992,0.08967201741385494,0.13874999999999998,-0.05999999999999994,0.31999999999999995,0.13462460754477956,0.1697753924552204
postcopy,idle,False,dl_avg_bps,0,,,,,,,,
postcopy,idle,False,stream_disconnects,100,22.02,22.0,0.19999999999999998,0.0,22.0,24.0,21.980800720309198,22.0591992796908
postcopy,idle,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,idle,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,idle,False,vip_http_client_visible_total_down_ms,100,961.57,960.5,86.29796338760542,100.0,811.0,1411.0,944.6559099821138,978.4840900178863
precopy,idle,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,idle,False,vip_http_client_visible_outage_span_ms,100,961.57,960.5,86.29796338760542,100.0,811.0,1411.0,944.6559099821138,978.4840900178863
precopy,idle,False,vip_http_cutover_near_downtime_ms,100,961.57,960.5,86.29796338760542,100.0,811.0,1411.0,944.6559099821138,978.4840900178863
precopy,idle,False,vip_http_downtime_ms,100,961.57,960.5,86.29796338760542,100.0,811.0,1411.0,944.6559099821138,978.4840900178863
precopy,idle,False,vip_l4_downtime_ms,100,802.48,800.0,65.28932964624899,49.25,748.0,1200.0,789.6835265318589,815.2764734681411
precopy,idle,False,http_downtime_ms,100,794.5,763.0,86.94611125649187,103.25,677.0,1268.0,777.4588753341463,811.5411246658537
precopy,idle,False,l4_downtime_ms,100,580.16,550.0,65.89365782390699,50.0,500.0,1000.0,567.2450803855536,593.0749196144463
precopy,idle,False,vip_http_downphase_ms,100,950.26,949.0,86.35826479839609,100.0,800.0,1400.0,933.3340911227771,967.1859088772229
precopy,idle,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,idle,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,idle,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,idle,False,postcopy_cutover_to_health_ok_ms,100,715.88,715.5,10.137718349477527,14.25,688.0,739.0,713.8930437149613,717.8669562850387
precopy,idle,False,latency_src_p50_ms,100,0.9716,0.97,0.05153639490690051,0.07000000000000006,0.85,1.1,0.9614990522089442,0.9817009477910559
precopy,idle,False,latency_dst_p50_ms,100,1.0520000000000003,1.06,0.08858027233230122,0.1100000000000001,0.82,1.25,1.0346385856487943,1.0693614143512062
precopy,idle,False,latency_vip_p50_ms,100,0.9399500000000002,0.93,0.05020913333953366,0.06624999999999992,0.83,1.06,0.9301091906959547,0.9497908093040457
precopy,idle,False,latency_src_avg_ms,100,1.0661100000000001,1.045,0.08312348061951587,0.09450000000000003,0.929,1.351,1.0498180971716138,1.0824019028283864
precopy,idle,False,latency_dst_avg_ms,100,1.3376700000000001,1.3165,0.22883963133313875,0.3747499999999999,0.903,1.858,1.2928182564351627,1.3825217435648376
precopy,idle,False,latency_vip_avg_ms,100,1.0018,0.9975,0.06299895782367107,0.08774999999999988,0.866,1.156,0.9894524311602048,1.0141475688397954
precopy,idle,False,latency_delta_dst_src_p50_ms,100,0.08040000000000001,0.08000000000000007,0.10266814245299015,0.1162500000000001,-0.18000000000000005,0.33999999999999997,0.06027741384325117,0.10052258615674886
precopy,idle,False,dl_avg_bps,0,,,,,,,,
precopy,idle,False,stream_disconnects,100,14.3,14.0,0.5773502691896258,0.0,14.0,16.0,14.186841426592384,14.413158573407618
precopy,idle,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,idle,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
