run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986530213,1777986544981,9913,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1777986530213,1777986538814,8601,0,8601,observed_down,,,multiple_down_segments,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986530213,1777986544981,9913,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1777986540423,1777986540446,23,10210,10233,observed_down,,,multiple_down_segments,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986530213,1777986544981,9913,vip_http_client_visible_total_down_ms,3,down_segment_3,VIP HTTP down segment 3,http_down,1777986542327,1777986542353,26,12114,12140,observed_down,,,multiple_down_segments,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986530213,1777986544981,9913,vip_http_client_visible_total_down_ms,4,down_segment_4,VIP HTTP down segment 4,http_down,1777986543718,1777986544981,1263,13505,14768,observed_down,,,multiple_down_segments,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,1,transfer,Transfer,transfer,1777986530333,1777986532684,2351,0,2351,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,2,transfer_to_restore,Transfer to restore,handoff,1777986532684,1777986535668,2984,2351,5335,event,transfer_done_ms_event,restore_start_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,3,restore,Restore,restore,1777986535668,1777986537485,1817,5335,7152,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,4,unknown_gap,Unknown / not explained by markers,unknown,1777986537485,1777986539403,1918,7152,9070,unknown,,,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,5,readiness_gate,Readiness gate,readiness,1777986539403,1777986541870,2467,9070,11537,event,dest_readiness_wait_start_ms_event,dest_readiness_ok_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,6,unknown_gap,Unknown / not explained by markers,unknown,1777986541870,1777986541985,115,11537,11652,unknown,,,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,7,warmup,Warmup,warmup,1777986541985,1777986543075,1090,11652,12742,event,postcopy_warmup_start_ms_event,postcopy_warmup_done_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,8,warmup_to_cutover,Warmup to cutover,handoff,1777986543075,1777986543194,119,12742,12861,event,postcopy_warmup_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,9,vip_cutover,VIP cutover,cutover,1777986543194,1777986545963,2769,12861,15630,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,10,unknown_gap,Unknown / not explained by markers,unknown,1777986545963,1777986546010,47,15630,15677,unknown,,,unknown_present,True
20260505_130831_postcopy_01_1c2344,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0001,0001,1,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,event_critical_path,1777986530333,1777986546508,16175,,11,health_wait,Health wait,health,1777986546010,1777986546508,498,15677,16175,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
20260505_130918_postcopy_02_68be2c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0002,0002,2,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986575836,1777986590451,10367,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1777986575836,1777986584890,9054,0,9054,observed_down,,,multiple_down_segments,True
20260505_130918_postcopy_02_68be2c,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_130831_postcopy_upload_c8f0ea\runs\0002,0002,2,20260505_130831_postcopy_upload_c8f0ea,/mnt/criu/runs/batches/20260505_130831_postcopy_upload_c8f0ea,20260505_130831_postcopy_upload_c8f0ea,postcopy,upload,False,False,client_visible_vip_http,1777986575836,1777986590451,10367,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1777986589138,1777986590451,1313,13302,14615,observed_down,,,multiple_down_segments,True
