run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,analysis_source,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0001,0001,1,20260721_171303_postcopy_01_92f49c,postcopy,wrk3,ok,2026-07-21T17:13:03Z,2026-07-21T17:13:30Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0001\summary.json,,False,,,1784654001372.0,1784654001372.0,events(offset_corrected),2507.0,701.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,52.0,50.0,1450.0,,200.0,74.0,31.0,0.0,0.0,0.0,200.0,73.0,200.0,73.0,0.0,0.0,1784653998921.0,1784654000382.0,,363.0,328.0,,318.0,431.0,,,,,1339.0,,,,1327.0,,,793.0,1076.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.45,15.835,8.275,8.069,12.12,14.296,29.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-6.174999999999999,-7.766,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0002,0002,2,20260721_171331_postcopy_02_ae0349,postcopy,wrk3,ok,2026-07-21T17:13:31Z,2026-07-21T17:13:56Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0002\summary.json,,False,,,1784654027486.0,1784654027486.0,events(offset_corrected),2548.0,700.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,51.0,50.0,1400.0,,196.0,73.0,30.0,0.0,0.0,0.0,196.0,73.0,196.0,73.0,0.0,0.0,1784654025024.0,1784654026435.0,,365.0,312.0,,313.0,433.0,,,,,1367.0,,,,1351.0,,,787.0,1063.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,11.35,12.743,9.61,9.198,11.46,12.367,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-1.7400000000000002,-3.545,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0003,0003,3,20260721_171357_postcopy_03_937910,postcopy,wrk3,ok,2026-07-21T17:13:57Z,2026-07-21T17:14:22Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0003\summary.json,,False,,,1784654053269.0,1784654053269.0,events(offset_corrected),2499.0,700.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,44.0,50.0,1350.0,,188.0,74.0,28.0,0.0,0.0,0.0,188.0,74.0,188.0,74.0,0.0,0.0,1784654050854.0,1784654052215.0,,371.0,329.0,,302.0,433.0,,,,,1351.0,,,,1336.0,,,795.0,1069.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.72,16.276,8.08,7.861,11.57,14.09,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-6.640000000000001,-8.415,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0004,0004,4,20260721_171423_postcopy_04_b2a8cd,postcopy,wrk3,ok,2026-07-21T17:14:23Z,2026-07-21T17:14:48Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0004\summary.json,,False,,,1784654079397.0,1784654079397.0,events(offset_corrected),2503.0,700.0,1412.0,1.0,1412.0,1412.0,1412.0,0.0,55.0,50.0,1400.0,,190.0,73.0,29.0,0.0,0.0,0.0,190.0,73.0,190.0,73.0,0.0,0.0,1784654076987.0,1784654078399.0,,366.0,312.0,,317.0,444.0,,,,,1352.0,,,,1336.0,,,773.0,1050.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.47,14.089,8.86,8.602,11.14,13.194,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-4.610000000000001,-5.487,1412.0,1412.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0005,0005,5,20260721_171449_postcopy_05_dcf1b6,postcopy,wrk3,ok,2026-07-21T17:14:49Z,2026-07-21T17:15:14Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0005\summary.json,,False,,,1784654105788.0,1784654105788.0,events(offset_corrected),2501.0,700.0,1361.0,1.0,1361.0,1361.0,1361.0,10.0,45.0,50.0,1350.0,0.0,189.0,73.0,30.0,0.0,0.0,0.0,189.0,72.0,185.0,72.0,4.0,0.0,1784654103404.0,1784654104765.0,,357.0,323.0,,316.0,424.0,,,,,1356.0,,,,1343.0,,,769.0,1053.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.29,14.766,9.29,8.843,10.42,13.096,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,False,-4.0,-5.923,1351.0,1351.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0006,0006,6,20260721_171515_postcopy_06_3708ce,postcopy,wrk3,ok,2026-07-21T17:15:15Z,2026-07-21T17:15:40Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0006\summary.json,,False,,,1784654131492.0,1784654131492.0,events(offset_corrected),2550.0,700.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,48.0,50.0,1399.0,,187.0,73.0,31.0,0.0,0.0,0.0,187.0,73.0,187.0,73.0,0.0,0.0,1784654129053.0,1784654130464.0,,344.0,323.0,,308.0,411.0,,,,,1330.0,,,,1318.0,,,780.0,1049.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.68,14.005,8.83,8.896,11.31,12.808,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-4.85,-5.109,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0007,0007,7,20260721_171541_postcopy_07_e44610,postcopy,wrk3,ok,2026-07-21T17:15:41Z,2026-07-21T17:16:07Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0007\summary.json,,False,,,1784654157999.0,1784654157999.0,events(offset_corrected),2599.0,701.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,45.0,50.0,1450.0,,200.0,73.0,31.0,0.0,0.0,0.0,200.0,73.0,200.0,73.0,0.0,0.0,1784654155510.0,1784654156971.0,,366.0,325.0,,316.0,427.0,,,,,1398.0,,,,1381.0,,,784.0,1052.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.74,15.728,8.19,7.752,11.68,14.017,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-6.550000000000001,-7.976,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0008,0008,8,20260721_171608_postcopy_08_4d80bc,postcopy,wrk3,ok,2026-07-21T17:16:08Z,2026-07-21T17:16:32Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0008\summary.json,,False,,,1784654183844.0,1784654183844.0,events(offset_corrected),2549.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,56.0,50.0,1400.0,,188.0,72.0,29.0,0.0,0.0,0.0,187.0,73.0,187.0,73.0,0.0,0.0,1784654181423.0,1784654182834.0,,366.0,320.0,,313.0,439.0,,,,,1329.0,,,,1311.0,,,765.0,1027.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.5,15.387,8.67,8.608,11.15,13.63,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-4.83,-6.779,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0009,0009,9,20260721_171633_postcopy_09_83f924,postcopy,wrk3,ok,2026-07-21T17:16:33Z,2026-07-21T17:16:58Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0009\summary.json,,False,,,1784654209856.0,1784654209856.0,events(offset_corrected),2601.0,700.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,46.0,50.0,1450.0,,192.0,73.0,31.0,0.0,0.0,0.0,192.0,73.0,192.0,73.0,0.0,0.0,1784654207356.0,1784654208817.0,,341.0,304.0,,307.0,441.0,,,,,1367.0,,,,1352.0,,,773.0,1053.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,14.495,15.063,9.41,9.349,11.825,13.581,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-5.084999999999999,-5.714,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0010,0010,10,20260721_171700_postcopy_10_4e6eaa,postcopy,wrk3,ok,2026-07-21T17:17:00Z,2026-07-21T17:17:25Z,,True,True,False,20260721_171303_postcopy_wrk3_ae3c82,/mnt/criu/runs/batches/20260721_171303_postcopy_wrk3_ae3c82,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_171303_postcopy_wrk3_ae3c82\runs\0010\summary.json,,False,,,1784654236242.0,1784654236242.0,events(offset_corrected),2550.0,750.0,1412.0,1.0,1412.0,1412.0,1412.0,0.0,56.0,50.0,1401.0,,192.0,74.0,29.0,0.0,0.0,0.0,192.0,73.0,192.0,73.0,0.0,0.0,1784654233803.0,1784654235215.0,,368.0,319.0,,309.0,425.0,,,,,1358.0,,,,1342.0,,,784.0,1071.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,13.06,14.554,9.84,9.449,12.12,13.872,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,20260721_171303_postcopy_wrk3_ae3c82,True,-3.2200000000000006,-5.105,1412.0,1412.0
