run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0001,0001,1,20260720_182830_postcopy_01_4d6ade,postcopy,cpu,ok,2026-07-20T18:28:30Z,2026-07-20T18:28:56Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0001\summary.json,,False,,,1784572127050.0,1784572127050.0,events(offset_corrected),2750.0,900.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,50.0,50.0,1450.0,,200.0,73.0,30.0,0.0,0.0,0.0,200.0,73.0,200.0,73.0,0.0,0.0,1784572124403.0,1784572125864.0,,358.0,333.0,,315.0,429.0,,,,,1597.0,,,,1582.0,,,790.0,1070.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.08,1.06,1.136,0.92,1.085,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.08000000000000007,0.05599999999999983,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0002,0002,2,20260720_182857_postcopy_02_e0fdfe,postcopy,cpu,ok,2026-07-20T18:28:57Z,2026-07-20T18:29:21Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0002\summary.json,,False,,,1784572152288.0,1784572152288.0,events(offset_corrected),2551.0,650.0,1410.0,1.0,1410.0,1410.0,1410.0,0.0,50.0,50.0,1399.0,,176.0,73.0,32.0,0.0,0.0,0.0,175.0,74.0,175.0,74.0,0.0,0.0,1784572149857.0,1784572151267.0,,343.0,302.0,,305.0,432.0,,,,,1415.0,,,,1399.0,,,799.0,1078.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,1.641,1.1,1.115,0.91,1.205,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.16000000000000014,-0.526,1410.0,1410.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0003,0003,3,20260720_182922_postcopy_03_2c39e9,postcopy,cpu,ok,2026-07-20T18:29:22Z,2026-07-20T18:29:46Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0003\summary.json,,False,,,1784572177488.0,1784572177488.0,events(offset_corrected),2600.0,651.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,50.0,50.0,1450.0,,177.0,75.0,32.0,0.0,0.0,0.0,177.0,74.0,177.0,74.0,0.0,0.0,1784572175028.0,1784572176489.0,,345.0,315.0,,310.0,443.0,,,,,1440.0,,,,1425.0,,,791.0,1074.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.01,1.542,1.065,1.099,1.0,1.644,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.05499999999999994,-0.44300000000000006,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0004,0004,4,20260720_182947_postcopy_04_5c5451,postcopy,cpu,ok,2026-07-20T18:29:47Z,2026-07-20T18:30:12Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0004\summary.json,,False,,,1784572202925.0,1784572202925.0,events(offset_corrected),2601.0,700.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,49.0,0.0,1449.0,,176.0,73.0,32.0,0.0,0.0,0.0,176.0,73.0,176.0,73.0,0.0,0.0,1784572200443.0,1784572201904.0,,359.0,337.0,,316.0,436.0,,,,,1461.0,,,,1445.0,,,791.0,1067.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.671,1.31,1.646,1.06,1.352,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.33000000000000007,-0.025000000000000133,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0005,0005,5,20260720_183013_postcopy_05_2d0157,postcopy,cpu,ok,2026-07-20T18:30:13Z,2026-07-20T18:30:37Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0005\summary.json,,False,,,1784572228435.0,1784572228435.0,events(offset_corrected),2550.0,700.0,1412.0,1.0,1412.0,1412.0,1412.0,0.0,50.0,50.0,1400.0,,178.0,73.0,30.0,0.0,0.0,0.0,178.0,73.0,178.0,73.0,0.0,0.0,1784572225990.0,1784572227402.0,,349.0,336.0,,306.0,429.0,,,,,1425.0,,,,1408.0,,,785.0,1051.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.025,1.568,1.21,1.267,1.04,1.523,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.18500000000000005,-0.30100000000000016,1412.0,1412.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0006,0006,6,20260720_183038_postcopy_06_b86ad2,postcopy,cpu,ok,2026-07-20T18:30:38Z,2026-07-20T18:31:02Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0006\summary.json,,False,,,1784572253621.0,1784572253621.0,events(offset_corrected),2500.0,650.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,49.0,50.0,1350.0,,174.0,74.0,28.0,0.0,0.0,0.0,174.0,74.0,174.0,74.0,0.0,0.0,1784572251218.0,1784572252579.0,,343.0,326.0,,287.0,424.0,,,,,1420.0,,,,1405.0,,,805.0,1087.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,1.042,1.285,1.466,1.07,1.161,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.345,0.42399999999999993,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0007,0007,7,20260720_183103_postcopy_07_9db167,postcopy,cpu,ok,2026-07-20T18:31:03Z,2026-07-20T18:31:28Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0007\summary.json,,False,,,1784572279274.0,1784572279274.0,events(offset_corrected),2700.0,650.0,1511.0,1.0,1511.0,1511.0,1511.0,0.0,49.0,50.0,1500.0,,183.0,75.0,34.0,0.0,0.0,0.0,183.0,75.0,183.0,75.0,0.0,0.0,1784572276716.0,1784572278227.0,,358.0,326.0,,337.0,436.0,,,,,1411.0,,,,1394.0,,,822.0,1099.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.03,2.153,1.07,1.125,0.98,1.481,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.040000000000000036,-1.028,1511.0,1511.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0008,0008,8,20260720_183129_postcopy_08_02efcc,postcopy,cpu,ok,2026-07-20T18:31:29Z,2026-07-20T18:31:53Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0008\summary.json,,False,,,1784572304388.0,1784572304388.0,events(offset_corrected),2702.0,650.0,1561.0,1.0,1561.0,1561.0,1561.0,0.0,50.0,51.0,1550.0,,175.0,73.0,35.0,0.0,0.0,0.0,174.0,73.0,174.0,73.0,0.0,0.0,1784572301812.0,1784572303373.0,,341.0,338.0,,310.0,433.0,,,,,1422.0,,,,1406.0,,,797.0,1069.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.95,1.43,1.22,1.608,1.05,1.428,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.27,0.17800000000000016,1561.0,1561.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0009,0009,9,20260720_183154_postcopy_09_d9b733,postcopy,cpu,ok,2026-07-20T18:31:54Z,2026-07-20T18:32:18Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0009\summary.json,,False,,,1784572329726.0,1784572329726.0,events(offset_corrected),2550.0,650.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,50.0,50.0,1450.0,,173.0,74.0,31.0,0.0,0.0,0.0,173.0,74.0,173.0,74.0,0.0,0.0,1784572327229.0,1784572328690.0,,367.0,325.0,,311.0,449.0,,,,,1414.0,,,,1399.0,,,803.0,1078.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.87,1.053,1.0,1.045,0.925,1.309,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.13,-0.008000000000000007,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0010,0010,10,20260720_183219_postcopy_10_59ecb3,postcopy,cpu,ok,2026-07-20T18:32:19Z,2026-07-20T18:32:44Z,,True,True,False,20260720_182830_postcopy_cpu_c52bf4,/mnt/criu/runs/batches/20260720_182830_postcopy_cpu_c52bf4,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_182830_postcopy_cpu_c52bf4\runs\0010\summary.json,,False,,,1784572355242.0,1784572355242.0,events(offset_corrected),2601.0,651.0,1462.0,1.0,1462.0,1462.0,1462.0,0.0,50.0,50.0,1450.0,,177.0,73.0,33.0,0.0,0.0,0.0,176.0,73.0,176.0,73.0,0.0,0.0,1784572352779.0,1784572354241.0,,354.0,327.0,,310.0,421.0,,,,,1417.0,,,,1403.0,,,799.0,1065.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.98,1.301,1.25,1.643,1.05,1.286,24.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.27,0.3420000000000001,1462.0,1462.0
