method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,idle,False,vip_http_client_visible_total_down_ms,1,9393.0,9393.0,0.0,0.0,9393.0,9393.0,9393.0,9393.0
postcopy,idle,False,vip_http_client_visible_down_segments,1,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
postcopy,idle,False,vip_http_client_visible_outage_span_ms,1,13312.0,13312.0,0.0,0.0,13312.0,13312.0,13312.0,13312.0
postcopy,idle,False,vip_http_cutover_near_downtime_ms,1,1262.0,1262.0,0.0,0.0,1262.0,1262.0,1262.0,1262.0
postcopy,idle,False,vip_http_downtime_ms,1,1262.0,1262.0,0.0,0.0,1262.0,1262.0,1262.0,1262.0
postcopy,idle,False,vip_l4_downtime_ms,1,1211.0,1211.0,0.0,0.0,1211.0,1211.0,1211.0,1211.0
postcopy,idle,False,http_downtime_ms,1,11699.0,11699.0,0.0,0.0,11699.0,11699.0,11699.0,11699.0
postcopy,idle,False,l4_downtime_ms,1,3000.0,3000.0,0.0,0.0,3000.0,3000.0,3000.0,3000.0
postcopy,idle,False,vip_http_downphase_ms,1,6501.0,6501.0,0.0,0.0,6501.0,6501.0,6501.0,6501.0
postcopy,idle,False,postcopy_restore_to_readiness_ms,1,3722.0,3722.0,0.0,0.0,3722.0,3722.0,3722.0,3722.0
postcopy,idle,False,postcopy_readiness_gate_ms,1,2482.0,2482.0,0.0,0.0,2482.0,2482.0,2482.0,2482.0
postcopy,idle,False,postcopy_warmup_duration_ms,1,541.0,541.0,0.0,0.0,541.0,541.0,541.0,541.0
postcopy,idle,False,postcopy_cutover_to_health_ok_ms,1,3306.0,3306.0,0.0,0.0,3306.0,3306.0,3306.0,3306.0
postcopy,idle,False,latency_src_p50_ms,1,4.78,4.78,0.0,0.0,4.78,4.78,4.78,4.78
postcopy,idle,False,latency_dst_p50_ms,1,3.53,3.53,0.0,0.0,3.53,3.53,3.53,3.53
postcopy,idle,False,latency_vip_p50_ms,1,4.29,4.29,0.0,0.0,4.29,4.29,4.29,4.29
postcopy,idle,False,latency_src_avg_ms,1,5.298,5.298,0.0,0.0,5.298,5.298,5.298,5.298
postcopy,idle,False,latency_dst_avg_ms,1,4.509,4.509,0.0,0.0,4.509,4.509,4.509,4.509
postcopy,idle,False,latency_vip_avg_ms,1,4.676,4.676,0.0,0.0,4.676,4.676,4.676,4.676
postcopy,idle,False,latency_delta_dst_src_p50_ms,1,-1.2500000000000004,-1.2500000000000004,0.0,0.0,-1.2500000000000004,-1.2500000000000004,-1.2500000000000004,-1.2500000000000004
postcopy,idle,False,dl_avg_bps,0,,,,,,,,
postcopy,idle,False,stream_disconnects,1,44.0,44.0,0.0,0.0,44.0,44.0,44.0,44.0
postcopy,idle,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,idle,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
