run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,client_visible_vip_http,1779042184568,1779042199662,10686,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1779042184568,1779042193255,8687,0,8687,observed_down,,,multiple_down_segments,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,client_visible_vip_http,1779042184568,1779042199662,10686,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1779042195737,1779042195770,33,11169,11202,observed_down,,,multiple_down_segments,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,client_visible_vip_http,1779042184568,1779042199662,10686,vip_http_client_visible_total_down_ms,3,down_segment_3,VIP HTTP down segment 3,http_down,1779042197696,1779042199662,1966,13128,15094,observed_down,,,multiple_down_segments,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,1,transfer,Transfer,transfer,1779042184749,1779042187203,2454,0,2454,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,2,transfer_to_restore,Transfer to restore,handoff,1779042187203,1779042190150,2947,2454,5401,event,transfer_done_ms_event,restore_start_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,3,restore,Restore,restore,1779042190150,1779042191988,1838,5401,7239,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,4,unknown_gap,Unknown / not explained by markers,unknown,1779042191988,1779042193592,1604,7239,8843,unknown,,,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,5,readiness_gate,Readiness gate,readiness,1779042193592,1779042195935,2343,8843,11186,event,dest_readiness_wait_start_ms_event,dest_readiness_ok_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,6,unknown_gap,Unknown / not explained by markers,unknown,1779042195935,1779042196000,65,11186,11251,unknown,,,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,7,warmup,Warmup,warmup,1779042196000,1779042196999,999,11251,12250,event,postcopy_warmup_start_ms_event,postcopy_warmup_done_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,8,warmup_to_cutover,Warmup to cutover,handoff,1779042196999,1779042197113,114,12250,12364,event,postcopy_warmup_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,9,vip_cutover,VIP cutover,cutover,1779042197113,1779042200718,3605,12364,15969,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,10,unknown_gap,Unknown / not explained by markers,unknown,1779042200718,1779042200763,45,15969,16014,unknown,,,unknown_present,True
20260517_182246_postcopy_01_9a40fe,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_182246_postcopy_upload_684e96\runs\0001,0001,1,20260517_182246_postcopy_upload_684e96,/mnt/criu/runs/batches/20260517_182246_postcopy_upload_684e96,,postcopy,upload,False,False,event_critical_path,1779042184749,1779042201169,16420,,11,health_wait,Health wait,health,1779042200763,1779042201169,406,16014,16420,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
