method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,upload,False,vip_http_client_visible_total_down_ms,1,10686.0,10686.0,0.0,0.0,10686.0,10686.0,10686.0,10686.0
postcopy,upload,False,vip_http_client_visible_down_segments,1,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
postcopy,upload,False,vip_http_client_visible_outage_span_ms,1,15094.0,15094.0,0.0,0.0,15094.0,15094.0,15094.0,15094.0
postcopy,upload,False,vip_http_cutover_near_downtime_ms,1,1966.0,1966.0,0.0,0.0,1966.0,1966.0,1966.0,1966.0
postcopy,upload,False,vip_http_downtime_ms,1,1966.0,1966.0,0.0,0.0,1966.0,1966.0,1966.0,1966.0
postcopy,upload,False,vip_l4_downtime_ms,1,1961.0,1961.0,0.0,0.0,1961.0,1961.0,1961.0,1961.0
postcopy,upload,False,http_downtime_ms,1,12665.0,12665.0,0.0,0.0,12665.0,12665.0,12665.0,12665.0
postcopy,upload,False,l4_downtime_ms,1,3343.0,3343.0,0.0,0.0,3343.0,3343.0,3343.0,3343.0
postcopy,upload,False,vip_http_downphase_ms,1,6102.0,6102.0,0.0,0.0,6102.0,6102.0,6102.0,6102.0
postcopy,upload,False,postcopy_restore_to_readiness_ms,1,3947.0,3947.0,0.0,0.0,3947.0,3947.0,3947.0,3947.0
postcopy,upload,False,postcopy_readiness_gate_ms,1,2343.0,2343.0,0.0,0.0,2343.0,2343.0,2343.0,2343.0
postcopy,upload,False,postcopy_warmup_duration_ms,1,999.0,999.0,0.0,0.0,999.0,999.0,999.0,999.0
postcopy,upload,False,postcopy_cutover_to_health_ok_ms,1,4056.0,4056.0,0.0,0.0,4056.0,4056.0,4056.0,4056.0
postcopy,upload,False,latency_src_p50_ms,1,5.98,5.98,0.0,0.0,5.98,5.98,5.98,5.98
postcopy,upload,False,latency_dst_p50_ms,1,4.335,4.335,0.0,0.0,4.335,4.335,4.335,4.335
postcopy,upload,False,latency_vip_p50_ms,1,5.765,5.765,0.0,0.0,5.765,5.765,5.765,5.765
postcopy,upload,False,latency_src_avg_ms,1,7.651,7.651,0.0,0.0,7.651,7.651,7.651,7.651
postcopy,upload,False,latency_dst_avg_ms,1,7.021,7.021,0.0,0.0,7.021,7.021,7.021,7.021
postcopy,upload,False,latency_vip_avg_ms,1,8.361,8.361,0.0,0.0,8.361,8.361,8.361,8.361
postcopy,upload,False,latency_delta_dst_src_p50_ms,1,-1.6450000000000005,-1.6450000000000005,0.0,0.0,-1.6450000000000005,-1.6450000000000005,-1.6450000000000005,-1.6450000000000005
postcopy,upload,False,dl_avg_bps,0,,,,,,,,
postcopy,upload,False,stream_disconnects,1,54.0,54.0,0.0,0.0,54.0,54.0,54.0,54.0
postcopy,upload,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,upload,False,upload_disconnects,1,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
