run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,client_visible_vip_http,1779041793846,1779041808610,9449,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1779041793846,1779041802031,8185,0,8185,observed_down,,,multiple_down_segments,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,client_visible_vip_http,1779041793846,1779041808610,9449,vip_http_client_visible_total_down_ms,2,down_segment_2,VIP HTTP down segment 2,http_down,1779041807346,1779041808610,1264,13500,14764,observed_down,,,multiple_down_segments,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,1,transfer,Transfer,transfer,1779041793984,1779041795933,1949,0,1949,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,2,transfer_to_restore,Transfer to restore,handoff,1779041795933,1779041798945,3012,1949,4961,event,transfer_done_ms_event,restore_start_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,3,restore,Restore,restore,1779041798945,1779041800687,1742,4961,6703,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,4,unknown_gap,Unknown / not explained by markers,unknown,1779041800687,1779041802403,1716,6703,8419,unknown,,,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,5,readiness_gate,Readiness gate,readiness,1779041802403,1779041805644,3241,8419,11660,event,dest_readiness_wait_start_ms_event,dest_readiness_ok_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,6,unknown_gap,Unknown / not explained by markers,unknown,1779041805644,1779041805732,88,11660,11748,unknown,,,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,7,warmup,Warmup,warmup,1779041805732,1779041806650,918,11748,12666,event,postcopy_warmup_start_ms_event,postcopy_warmup_done_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,8,warmup_to_cutover,Warmup to cutover,handoff,1779041806650,1779041806769,119,12666,12785,event,postcopy_warmup_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,9,vip_cutover,VIP cutover,cutover,1779041806769,1779041809803,3034,12785,15819,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,10,unknown_gap,Unknown / not explained by markers,unknown,1779041809803,1779041809872,69,15819,15888,unknown,,,unknown_present,True
20260517_181616_postcopy_01_819b93,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181616_postcopy_wrk1_eb3745\runs\0001,0001,1,20260517_181616_postcopy_wrk1_eb3745,/mnt/criu/runs/batches/20260517_181616_postcopy_wrk1_eb3745,,postcopy,wrk1,False,False,event_critical_path,1779041793984,1779041810400,16416,,11,health_wait,Health wait,health,1779041809872,1779041810400,528,15888,16416,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
