method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
postcopy,wrk2,False,vip_http_client_visible_total_down_ms,1,9833.0,9833.0,0.0,0.0,9833.0,9833.0,9833.0,9833.0
postcopy,wrk2,False,vip_http_client_visible_down_segments,1,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0
postcopy,wrk2,False,vip_http_client_visible_outage_span_ms,1,15338.0,15338.0,0.0,0.0,15338.0,15338.0,15338.0,15338.0
postcopy,wrk2,False,vip_http_cutover_near_downtime_ms,1,1262.0,1262.0,0.0,0.0,1262.0,1262.0,1262.0,1262.0
postcopy,wrk2,False,vip_http_downtime_ms,1,1262.0,1262.0,0.0,0.0,1262.0,1262.0,1262.0,1262.0
postcopy,wrk2,False,vip_l4_downtime_ms,1,1261.0,1261.0,0.0,0.0,1261.0,1261.0,1261.0,1261.0
postcopy,wrk2,False,http_downtime_ms,1,12653.0,12653.0,0.0,0.0,12653.0,12653.0,12653.0,12653.0
postcopy,wrk2,False,l4_downtime_ms,1,3651.0,3651.0,0.0,0.0,3651.0,3651.0,3651.0,3651.0
postcopy,wrk2,False,vip_http_downphase_ms,1,5850.0,5850.0,0.0,0.0,5850.0,5850.0,5850.0,5850.0
postcopy,wrk2,False,postcopy_restore_to_readiness_ms,1,3923.0,3923.0,0.0,0.0,3923.0,3923.0,3923.0,3923.0
postcopy,wrk2,False,postcopy_readiness_gate_ms,1,2496.0,2496.0,0.0,0.0,2496.0,2496.0,2496.0,2496.0
postcopy,wrk2,False,postcopy_warmup_duration_ms,1,1041.0,1041.0,0.0,0.0,1041.0,1041.0,1041.0,1041.0
postcopy,wrk2,False,postcopy_cutover_to_health_ok_ms,1,3460.0,3460.0,0.0,0.0,3460.0,3460.0,3460.0,3460.0
postcopy,wrk2,False,latency_src_p50_ms,1,17.45,17.45,0.0,0.0,17.45,17.45,17.45,17.45
postcopy,wrk2,False,latency_dst_p50_ms,1,19.145,19.145,0.0,0.0,19.145,19.145,19.145,19.145
postcopy,wrk2,False,latency_vip_p50_ms,1,21.12,21.12,0.0,0.0,21.12,21.12,21.12,21.12
postcopy,wrk2,False,latency_src_avg_ms,1,17.041,17.041,0.0,0.0,17.041,17.041,17.041,17.041
postcopy,wrk2,False,latency_dst_avg_ms,1,18.942,18.942,0.0,0.0,18.942,18.942,18.942,18.942
postcopy,wrk2,False,latency_vip_avg_ms,1,20.631,20.631,0.0,0.0,20.631,20.631,20.631,20.631
postcopy,wrk2,False,latency_delta_dst_src_p50_ms,1,1.6950000000000003,1.6950000000000003,0.0,0.0,1.6950000000000003,1.6950000000000003,1.6950000000000003,1.6950000000000003
postcopy,wrk2,False,dl_avg_bps,0,,,,,,,,
postcopy,wrk2,False,stream_disconnects,1,51.0,51.0,0.0,0.0,51.0,51.0,51.0,51.0
postcopy,wrk2,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcopy,wrk2,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
