run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0001,0001,1,20260505_151321_postcopy_01_efe053,postcopy,stream,ok,2026-05-05T15:13:21Z,2026-05-05T15:13:59Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0001\summary.json,,False,,,1777994028518.0,1777994028518.0,events(offset_corrected),11402.0,2350.0,9709.0,2.0,12962.0,1213.0,1213.0,1210.0,49.0,0.0,7151.0,1200.0,201.0,142.0,144.0,25.0,0.0,0.0,200.0,141.0,199.0,116.0,1.0,25.0,1777994028983.0,1777994030196.0,,2756.0,,,2998.0,1788.0,,,,,3775.0,,,,3092.0,1777.0,570.0,2680.0,3092.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.47,5.311,3.07,4.067,3.71,4.499,47.0,10440.0,145954.258,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.4,-1.2439999999999998,8499.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0002,0002,2,20260505_151401_postcopy_02_c30496,postcopy,stream,ok,2026-05-05T15:14:01Z,2026-05-05T15:14:38Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0002\summary.json,,False,,,1777994067786.0,1777994067786.0,events(offset_corrected),10453.0,2300.0,8790.0,2.0,12014.0,1212.0,1212.0,1212.0,50.0,48.0,7205.0,1200.0,201.0,142.0,145.0,25.0,0.0,0.0,200.0,142.0,200.0,117.0,0.0,25.0,1777994068264.0,1777994069476.0,,1882.0,,,2799.0,1813.0,,,,,3849.0,,,,3196.0,1767.0,543.0,2700.0,3097.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.97,4.989,3.65,4.271,4.1,4.574,45.0,9595.0,150371.907,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.3199999999999998,-0.718,7578.0,0.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0003,0003,3,20260505_151440_postcopy_03_c42392,postcopy,stream,ok,2026-05-05T15:14:40Z,2026-05-05T15:15:18Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0003\summary.json,,False,,,1777994107800.0,1777994107800.0,events(offset_corrected),11302.0,2451.0,9462.0,2.0,12817.0,1167.0,1167.0,1110.0,49.0,50.0,7051.0,1100.0,201.0,139.0,142.0,24.0,0.0,0.0,200.0,139.0,200.0,116.0,0.0,23.0,1777994108257.0,1777994109424.0,,2327.0,,,3162.0,1880.0,,,,,3858.0,,,,3204.0,1842.0,538.0,2589.0,2981.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.96,4.839,3.12,4.257,3.855,4.279,47.0,10217.0,147901.957,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.8399999999999999,-0.5820000000000007,8352.0,57.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0004,0004,4,20260505_151520_postcopy_04_1e3007,postcopy,stream,ok,2026-05-05T15:15:20Z,2026-05-05T15:16:00Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0004\summary.json,,False,,,1777994149153.0,1777994149153.0,events(offset_corrected),12450.0,2300.0,10787.0,2.0,14022.0,1213.0,1213.0,1210.0,50.0,0.0,7211.0,1199.0,201.0,140.0,145.0,25.0,0.0,0.0,201.0,140.0,201.0,115.0,0.0,25.0,1777994149622.0,1777994150835.0,,2392.0,,,3886.0,1876.0,,,,,4017.0,,,,3365.0,1795.0,539.0,2655.0,3048.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.29,5.336,2.65,3.271,3.735,4.269,49.0,11317.0,141802.541,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.64,-2.0650000000000004,9577.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0005,0005,5,20260505_151601_postcopy_05_af8ea5,postcopy,stream,ok,2026-05-05T15:16:01Z,2026-05-05T15:16:39Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0005\summary.json,,False,,,1777994188182.0,1777994188182.0,events(offset_corrected),11202.0,2400.0,9406.0,2.0,12717.0,1168.0,1168.0,1160.0,48.0,50.0,7104.0,1150.0,201.0,143.0,143.0,24.0,0.0,0.0,200.0,143.0,200.0,119.0,0.0,24.0,1777994188636.0,1777994189804.0,,2120.0,,,3101.0,1916.0,,,,,3955.0,,,,3284.0,1844.0,558.0,2720.0,3142.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.33,5.178,3.88,4.845,4.24,4.751,47.0,10247.0,148381.465,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.4500000000000002,-0.3330000000000002,8246.0,8.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0006,0006,6,20260505_151641_postcopy_06_630418,postcopy,stream,ok,2026-05-05T15:16:41Z,2026-05-05T15:17:20Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0006\summary.json,,False,,,1777994229256.0,1777994229256.0,events(offset_corrected),11752.0,2399.0,9813.0,2.0,13316.0,1213.0,1213.0,1211.0,51.0,51.0,6909.0,1200.0,201.0,142.0,139.0,25.0,0.0,0.0,200.0,142.0,200.0,117.0,0.0,25.0,1777994229718.0,1777994230931.0,,2430.0,,,2837.0,1941.0,,,,,4462.0,,,,3800.0,1810.0,544.0,2753.0,3135.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.45,5.406,3.75,4.423,4.69,4.96,47.0,10805.0,142874.692,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.7000000000000002,-0.9829999999999997,8602.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0007,0007,7,20260505_151721_postcopy_07_d198aa,postcopy,stream,ok,2026-05-05T15:17:21Z,2026-05-05T15:18:00Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0007\summary.json,,False,,,1777994269504.0,1777994269504.0,events(offset_corrected),11653.0,2232.0,10084.0,2.0,13213.0,1212.0,1212.0,1211.0,50.0,51.0,7252.0,1200.0,200.0,142.0,146.0,25.0,0.0,0.0,200.0,142.0,199.0,117.0,1.0,25.0,1777994269948.0,1777994271160.0,,2230.0,,,3701.0,1747.0,,,,,3896.0,,,,3243.0,1710.0,538.0,2723.0,3125.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.31,5.104,2.83,3.981,3.53,4.277,48.0,10805.0,144316.489,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.4799999999999995,-1.1230000000000002,8873.0,1.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0008,0008,8,20260505_151802_postcopy_08_2fa838,postcopy,stream,ok,2026-05-05T15:18:02Z,2026-05-05T15:18:41Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0008\summary.json,,False,,,1777994310033.0,1777994310033.0,events(offset_corrected),11651.0,2251.0,9937.0,2.0,13162.0,1113.0,1113.0,1160.0,47.0,50.0,7201.0,1150.0,200.0,141.0,145.0,23.0,0.0,0.0,200.0,141.0,200.0,117.0,0.0,24.0,1777994310530.0,1777994311643.0,,2313.0,,,3128.0,2100.0,,,,,3829.0,,,,3162.0,1750.0,550.0,2666.0,3089.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.69,5.416,3.54,4.364,4.35,4.563,48.0,10799.0,143735.888,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.1500000000000004,-1.0520000000000005,8777.0,-47.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0009,0009,9,20260505_151842_postcopy_09_fc3837,postcopy,stream,ok,2026-05-05T15:18:42Z,2026-05-05T15:19:20Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0009\summary.json,,False,,,1777994349638.0,1777994349638.0,events(offset_corrected),11297.0,2247.0,9649.0,2.0,12875.0,1214.0,1214.0,1210.0,51.0,51.0,7215.0,1200.0,200.0,142.0,145.0,25.0,0.0,0.0,200.0,141.0,200.0,116.0,0.0,25.0,1777994350129.0,1777994351343.0,,2070.0,,,3130.0,2041.0,,,,,3952.0,,,,3300.0,1783.0,534.0,2689.0,3094.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.27,4.927,2.61,3.62,3.5,4.239,47.0,10412.0,146348.208,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.6599999999999997,-1.3069999999999995,8439.0,4.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0010,0010,10,20260505_151922_postcopy_10_ca9350,postcopy,stream,ok,2026-05-05T15:19:22Z,2026-05-05T15:20:01Z,,True,True,False,20260505_151321_postcopy_stream_398542,/mnt/criu/runs/batches/20260505_151321_postcopy_stream_398542,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260505_151321_postcopy_stream_398542\runs\0010\summary.json,,False,,,1777994390296.0,1777994390296.0,events(offset_corrected),11803.0,2197.0,10735.0,2.0,13962.0,1762.0,1762.0,1811.0,51.0,51.0,7201.0,1800.0,200.0,155.0,145.0,36.0,0.0,0.0,200.0,154.0,199.0,117.0,1.0,37.0,1777994390793.0,1777994392555.0,,2219.0,,,3551.0,2129.0,,,,,3830.0,,,,3175.0,1758.0,538.0,3323.0,3749.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.495,5.188,3.515,4.336,4.285,4.629,49.0,11000.0,144341.553,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.98,-0.8519999999999994,8924.0,-49.0
