run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0001,0001,1,20260721_090638_postcopy_01_46e2bf,postcopy,upload,ok,2026-07-21T09:06:38Z,2026-07-21T09:07:04Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0001\summary.json,,False,,,1784624815569.0,1784624815569.0,events(offset_corrected),2605.0,651.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,51.0,50.0,1450.0,,200.0,73.0,30.0,0.0,0.0,0.0,200.0,74.0,200.0,74.0,0.0,0.0,1784624813093.0,1784624814554.0,,345.0,331.0,,309.0,424.0,,,,,1343.0,,,,1327.0,,,807.0,1089.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.17,1.434,1.155,2.002,0.915,1.122,27.0,,0.0,0.0,0.0,,0.0,,1573453824.0,6070.0,259218092.916,1.0,,0,True,-0.014999999999999902,0.5679999999999998,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0002,0002,2,20260721_090705_postcopy_02_cf80c7,postcopy,upload,ok,2026-07-21T09:07:05Z,2026-07-21T09:07:30Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0002\summary.json,,False,,,1784624841042.0,1784624841042.0,events(offset_corrected),2450.0,650.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,51.0,50.0,1300.0,,181.0,72.0,27.0,0.0,0.0,0.0,180.0,73.0,180.0,73.0,0.0,0.0,1784624838727.0,1784624840038.0,,343.0,340.0,,305.0,424.0,,,,,1321.0,,,,1305.0,,,785.0,1053.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.06,1.378,1.11,1.97,1.0,1.324,25.0,,0.0,0.0,0.0,,0.0,,1399848960.0,5411.0,258704298.651,2.0,,0,True,0.050000000000000044,0.5920000000000001,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0003,0003,3,20260721_090731_postcopy_03_baa96c,postcopy,upload,ok,2026-07-21T09:07:31Z,2026-07-21T09:07:55Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0003\summary.json,,False,,,1784624866563.0,1784624866563.0,events(offset_corrected),2552.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,50.0,50.0,1400.0,,178.0,74.0,29.0,0.0,0.0,0.0,178.0,73.0,178.0,73.0,0.0,0.0,1784624864152.0,1784624865563.0,,340.0,333.0,,308.0,428.0,,,,,1402.0,,,,1387.0,,,799.0,1070.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.06,1.374,1.39,1.899,1.08,1.464,24.0,,0.0,0.0,0.0,,0.0,,1363738624.0,5479.0,248902833.364,1.0,,0,True,0.32999999999999985,0.5249999999999999,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0004,0004,4,20260721_090756_postcopy_04_015956,postcopy,upload,ok,2026-07-21T09:07:56Z,2026-07-21T09:08:21Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0004\summary.json,,False,,,1784624892111.0,1784624892111.0,events(offset_corrected),2451.0,650.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,0.0,50.0,1349.0,,181.0,73.0,28.0,0.0,0.0,0.0,180.0,74.0,180.0,74.0,0.0,0.0,1784624889749.0,1784624891110.0,,341.0,332.0,,321.0,451.0,,,,,1305.0,,,,1290.0,,,814.0,1090.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.09,1.532,1.24,1.531,1.1,1.474,25.0,,0.0,0.0,0.0,,0.0,,1468596224.0,5248.0,279839219.512,1.0,,0,True,0.1499999999999999,-0.001000000000000112,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0005,0005,5,20260721_090822_postcopy_05_e47c26,postcopy,upload,ok,2026-07-21T09:08:22Z,2026-07-21T09:08:47Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0005\summary.json,,False,,,1784624917853.0,1784624917853.0,events(offset_corrected),2503.0,651.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,51.0,50.0,1399.0,,183.0,73.0,29.0,0.0,0.0,0.0,183.0,73.0,183.0,73.0,0.0,0.0,1784624915444.0,1784624916855.0,,342.0,342.0,,313.0,404.0,,,,,1334.0,,,,1320.0,,,769.0,1037.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.105,1.324,1.38,1.899,1.11,1.629,25.0,,0.0,0.0,0.0,,0.0,,1468596224.0,5386.0,272669183.81,1.0,,0,True,0.2749999999999999,0.575,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0006,0006,6,20260721_090847_postcopy_06_8cf07b,postcopy,upload,ok,2026-07-21T09:08:47Z,2026-07-21T09:09:12Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0006\summary.json,,False,,,1784624943151.0,1784624943151.0,events(offset_corrected),2452.0,650.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,51.0,50.0,1300.0,,177.0,72.0,27.0,0.0,0.0,0.0,176.0,73.0,176.0,73.0,0.0,0.0,1784624940834.0,1784624942145.0,,340.0,334.0,,306.0,423.0,,,,,1324.0,,,,1311.0,,,795.0,1064.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.02,1.33,1.18,1.496,1.05,1.438,24.0,,0.0,0.0,0.0,,0.0,,1393098752.0,5463.0,255006178.29,1.0,,0,True,0.15999999999999992,0.16599999999999993,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0007,0007,7,20260721_090913_postcopy_07_37d822,postcopy,upload,ok,2026-07-21T09:09:13Z,2026-07-21T09:09:37Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0007\summary.json,,False,,,1784624968620.0,1784624968620.0,events(offset_corrected),2400.0,700.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,51.0,51.0,1300.0,,181.0,74.0,27.0,0.0,0.0,0.0,181.0,74.0,181.0,74.0,0.0,0.0,1784624966321.0,1784624967632.0,,343.0,318.0,,303.0,416.0,,,,,1312.0,,,,1297.0,,,819.0,1093.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.085,1.521,1.325,1.756,1.01,1.336,25.0,,0.0,0.0,0.0,,0.0,,1468596224.0,5234.0,280587738.632,1.0,,0,True,0.24,0.2350000000000001,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0008,0008,8,20260721_090938_postcopy_08_f55083,postcopy,upload,ok,2026-07-21T09:09:38Z,2026-07-21T09:10:03Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0008\summary.json,,False,,,1784624994116.0,1784624994116.0,events(offset_corrected),2449.0,701.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,50.0,50.0,1299.0,,175.0,73.0,27.0,0.0,0.0,0.0,175.0,73.0,175.0,73.0,0.0,0.0,1784624991779.0,1784624993090.0,,342.0,332.0,,296.0,422.0,,,,,1332.0,,,,1318.0,,,798.0,1077.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.15,1.577,1.3,1.711,1.17,1.67,24.0,,0.0,0.0,0.0,,0.0,,1387790336.0,5293.0,262193526.544,3.0,,0,True,0.15000000000000013,0.13400000000000012,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0009,0009,9,20260721_091004_postcopy_09_9bccb0,postcopy,upload,ok,2026-07-21T09:10:04Z,2026-07-21T09:10:28Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0009\summary.json,,False,,,1784625019367.0,1784625019367.0,events(offset_corrected),2499.0,650.0,1362.0,1.0,1362.0,1362.0,1362.0,0.0,52.0,50.0,1350.0,,176.0,73.0,28.0,0.0,0.0,0.0,175.0,74.0,175.0,74.0,0.0,0.0,1784625016987.0,1784625018349.0,,345.0,320.0,,319.0,406.0,,,,,1352.0,,,,1339.0,,,792.0,1055.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.14,1.485,1.34,1.73,1.21,1.482,24.0,,0.0,0.0,0.0,,0.0,,1437794304.0,5165.0,278372566.118,2.0,,0,True,0.20000000000000018,0.24499999999999988,1362.0,1362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0010,0010,10,20260721_091029_postcopy_10_126e99,postcopy,upload,ok,2026-07-21T09:10:29Z,2026-07-21T09:10:54Z,,True,True,False,20260721_090638_postcopy_upload_dfeec5,/mnt/criu/runs/batches/20260721_090638_postcopy_upload_dfeec5,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_090638_postcopy_upload_dfeec5\runs\0010\summary.json,,False,,,1784625045408.0,1784625045408.0,events(offset_corrected),2504.0,650.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,48.0,50.0,1349.0,,188.0,73.0,28.0,0.0,0.0,0.0,187.0,73.0,187.0,73.0,0.0,0.0,1784625043040.0,1784625044401.0,,343.0,319.0,,306.0,447.0,,,,,1314.0,,,,1300.0,,,798.0,1068.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.17,1.531,1.27,1.743,1.22,1.64,26.0,,0.0,0.0,0.0,,0.0,,1468596224.0,5422.0,270858765.031,1.0,,0,True,0.10000000000000009,0.2120000000000002,1361.0,1361.0
