method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,download,False,vip_http_client_visible_total_down_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,download,False,vip_http_client_visible_outage_span_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_cutover_near_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_http_downtime_ms,100,1766.68,1712.5,544.4373405432233,99.0,1553.0,7113.0,1659.9722420696514,1873.3877579303487
precopy,download,False,vip_l4_downtime_ms,100,1411.34,1350.0,536.2348388758815,52.0,1251.0,6703.0,1306.2399028547634,1516.4400971452365
precopy,download,False,http_downtime_ms,100,1499.75,1447.0,549.8051146919372,70.5,1282.0,6909.0,1391.9901776687889,1607.5098223312111
precopy,download,False,l4_downtime_ms,100,1004.65,951.0,521.3531224446904,26.75,898.0,6153.0,902.4666656780906,1106.8333343219094
precopy,download,False,vip_http_downphase_ms,100,1752.56,1700.0,543.9994303324409,100.0,1541.0,7095.0,1645.9380708938108,1859.181929106189
precopy,download,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,download,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,download,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,download,False,postcopy_cutover_to_health_ok_ms,100,969.76,961.0,52.72227980539905,90.5,888.0,1125.0,959.4266230398574,980.0933769601426
precopy,download,False,latency_src_p50_ms,100,7.4357,7.46,0.502036267755044,0.6875,6.24,8.955,7.33730269962672,7.534097300373279
precopy,download,False,latency_dst_p50_ms,100,6.5752999999999995,6.4125,0.985968431276959,1.32625,4.64,8.685,6.38205373848037,6.768546261519629
precopy,download,False,latency_vip_p50_ms,100,7.1965499999999984,7.15,0.560719548095268,0.6912500000000001,6.06,8.69,7.086650988030568,7.306449011969429
precopy,download,False,latency_src_avg_ms,100,8.745159999999998,8.693,0.44970872099323783,0.5177500000000013,7.839,10.062,8.657018710331966,8.83330128966803
precopy,download,False,latency_dst_avg_ms,100,7.79032,7.711,0.8478592874487672,1.366249999999999,6.148,9.953,7.624142633264262,7.956497366735738
precopy,download,False,latency_vip_avg_ms,100,8.399830000000001,8.375499999999999,0.46753786763936855,0.6477500000000003,7.422,9.69,8.30819426180182,8.491465738198183
precopy,download,False,latency_delta_dst_src_p50_ms,100,-0.8603999999999999,-0.8725,1.058891091394362,1.4437500000000003,-3.1399999999999997,1.21,-1.0679388402683259,-0.6528611597316739
precopy,download,False,dl_avg_bps,100,267674291.36612004,269069775.9875,14316773.385040423,19992126.71874997,235674746.739,301401552.17,264868255.34516996,270480327.3870701
precopy,download,False,stream_disconnects,100,22.8,22.0,1.775250729197189,1.0,22.0,33.0,22.452057250724504,23.147942749275497
precopy,download,False,download_disconnects,100,3.79,4.0,1.2251159499855884,1.0,3.0,15.0,3.5498816861142672,4.030118313885732
precopy,download,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
