run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,client_visible_vip_http,1784558467861,1784558468822,961,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784558467861,1784558468822,961,0,961,observed_down,,,,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,1,final_dump,Final dump,dump,1784558467637,1784558467831,194,0,194,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,2,unknown_gap,Unknown / not explained by markers,unknown,1784558467831,1784558467844,13,194,207,unknown,,,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,3,transfer,Transfer,transfer,1784558467844,1784558467881,37,207,244,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,4,unknown_gap,Unknown / not explained by markers,unknown,1784558467881,1784558467917,36,244,280,unknown,,,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,5,restore,Restore,restore,1784558467917,1784558468503,586,280,866,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,6,restore_to_cutover,Restore to cutover,handoff,1784558468503,1784558468516,13,866,879,event,restore_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,7,vip_cutover,VIP cutover,cutover,1784558468516,1784558469156,640,879,1519,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,8,unknown_gap,Unknown / not explained by markers,unknown,1784558469156,1784558469187,31,1519,1550,unknown,,,unknown_present,True
20260720_144057_precopy_01_2a5440,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0001,0001,1,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558467637,1784558469225,1588,,9,health_wait,Health wait,health,1784558469187,1784558469225,38,1550,1588,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
20260720_144117_precopy_02_feef02,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0002,0002,2,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,client_visible_vip_http,1784558486990,1784558487901,911,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1784558486990,1784558487901,911,0,911,observed_down,,,,True
20260720_144117_precopy_02_feef02,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0002,0002,2,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558486775,1784558488335,1560,,1,final_dump,Final dump,dump,1784558486775,1784558486981,206,0,206,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
20260720_144117_precopy_02_feef02,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0002,0002,2,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558486775,1784558488335,1560,,2,unknown_gap,Unknown / not explained by markers,unknown,1784558486981,1784558486997,16,206,222,unknown,,,unknown_present,True
20260720_144117_precopy_02_feef02,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260720_144057_precopy_idle_da5f09\runs\0002,0002,2,20260720_144057_precopy_idle_da5f09,/mnt/criu/runs/batches/20260720_144057_precopy_idle_da5f09,,precopy,idle,False,False,event_critical_path,1784558486775,1784558488335,1560,,3,transfer,Transfer,transfer,1784558486997,1784558487032,35,222,257,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
