run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0001,0001,1,20260504_105532_precopy_01_e9aa8b,precopy,idle,ok,2026-05-04T10:55:32Z,2026-05-04T10:56:02Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0001\summary.json,,False,,,1777892153271.0,1777892153271.0,events(offset_corrected),6859.0,6302.0,7011.0,1.0,7011.0,7011.0,7011.0,6800.0,7099.0,6850.0,6999.0,6790.0,195.0,71.0,129.0,12.0,0.0,0.0,195.0,71.0,70.0,60.0,125.0,11.0,1777892146889.0,1777892153900.0,320.0,54.0,163.0,68.0,56.0,6349.0,130.0,74.0,6223.0,52.0,26.0,78.0,shared,inventory_only,,,,899.0,1043.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.63,5.079,5.88,5.582,5.4,5.369,29.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.25,0.5030000000000001,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0002,0002,2,20260504_105604_precopy_02_2fe369,precopy,idle,ok,2026-05-04T10:56:04Z,2026-05-04T10:56:28Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0002\summary.json,,False,,,1777892178904.0,1777892178904.0,events(offset_corrected),1502.0,953.0,1762.0,1.0,1762.0,1762.0,1762.0,1300.0,1849.0,1350.0,1749.0,1290.0,92.0,71.0,25.0,11.0,0.0,0.0,91.0,71.0,76.0,60.0,15.0,11.0,1777892177742.0,1777892179504.0,529.0,53.0,163.0,69.0,57.0,903.0,156.0,99.0,792.0,12.0,19.0,31.0,shared,inventory_only,,,,867.0,1014.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.89,5.648,5.96,5.762,5.52,5.54,19.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.07000000000000028,0.11399999999999988,462.0,462.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0003,0003,3,20260504_105629_precopy_03_51bde3,precopy,idle,ok,2026-05-04T10:56:29Z,2026-05-04T10:56:54Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0003\summary.json,,False,,,1777892205502.0,1777892205502.0,events(offset_corrected),1400.0,904.0,1612.0,1.0,1612.0,1612.0,1612.0,1300.0,1700.0,1350.0,1600.0,1289.0,89.0,72.0,22.0,11.0,0.0,0.0,89.0,71.0,74.0,60.0,15.0,11.0,1777892204454.0,1777892206066.0,458.0,54.0,162.0,67.0,58.0,889.0,163.0,105.0,777.0,7.0,25.0,32.0,shared,inventory_only,,,,852.0,1018.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.4,5.209,5.8,5.409,5.545,5.194,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.39999999999999947,0.20000000000000018,312.0,312.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0004,0004,4,20260504_105656_precopy_04_0056f4,precopy,idle,ok,2026-05-04T10:56:56Z,2026-05-04T10:57:20Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0004\summary.json,,False,,,1777892230819.0,1777892230819.0,events(offset_corrected),1265.0,901.0,1512.0,1.0,1512.0,1512.0,1512.0,1350.0,1599.0,1397.0,1500.0,1339.0,88.0,70.0,20.0,11.0,0.0,0.0,87.0,71.0,72.0,59.0,15.0,12.0,1777892229896.0,1777892231408.0,316.0,53.0,165.0,68.0,56.0,922.0,161.0,105.0,809.0,8.0,19.0,27.0,shared,inventory_only,,,,829.0,986.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.445,5.34,5.825,5.396,5.31,5.096,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.3799999999999999,0.05600000000000005,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0005,0005,5,20260504_105721_precopy_05_8ab3a2,precopy,idle,ok,2026-05-04T10:57:21Z,2026-05-04T10:57:45Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0005\summary.json,,False,,,1777892256588.0,1777892256588.0,events(offset_corrected),1252.0,853.0,1512.0,1.0,1512.0,1512.0,1512.0,1250.0,1600.0,1300.0,1499.0,1240.0,87.0,70.0,20.0,11.0,0.0,0.0,86.0,71.0,72.0,60.0,14.0,11.0,1777892255671.0,1777892257183.0,319.0,53.0,161.0,65.0,57.0,879.0,134.0,77.0,765.0,37.0,19.0,56.0,shared,inventory_only,,,,854.0,1005.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.47,5.044,5.775,5.402,5.465,4.816,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.3050000000000006,0.35800000000000054,262.0,262.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0006,0006,6,20260504_105748_precopy_06_1a5fb4,precopy,idle,ok,2026-05-04T10:57:48Z,2026-05-04T10:58:12Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0006\summary.json,,False,,,1777892282807.0,1777892282807.0,events(offset_corrected),1363.0,952.0,1613.0,1.0,1613.0,1613.0,1613.0,1350.0,1701.0,1400.0,1599.0,1339.0,91.0,71.0,23.0,10.0,0.0,0.0,90.0,72.0,74.0,61.0,16.0,11.0,1777892281747.0,1777892283360.0,410.0,53.0,166.0,70.0,57.0,914.0,170.0,113.0,801.0,0.0,26.0,26.0,shared,inventory_only,,,,887.0,1049.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.81,5.157,6.17,5.928,5.38,5.352,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.3600000000000003,0.7709999999999999,263.0,263.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0007,0007,7,20260504_105813_precopy_07_c14667,precopy,idle,ok,2026-05-04T10:58:13Z,2026-05-04T10:58:37Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0007\summary.json,,False,,,1777892308554.0,1777892308554.0,events(offset_corrected),1440.0,902.0,1663.0,1.0,1663.0,1663.0,1663.0,1300.0,1751.0,1350.0,1649.0,1290.0,90.0,71.0,24.0,10.0,0.0,0.0,89.0,72.0,74.0,61.0,15.0,11.0,1777892307435.0,1777892309098.0,483.0,54.0,163.0,70.0,56.0,919.0,153.0,97.0,799.0,23.0,20.0,43.0,shared,inventory_only,,,,891.0,1032.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.93,5.332,5.955,6.291,5.58,5.385,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.025000000000000355,0.9590000000000005,363.0,363.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0008,0008,8,20260504_105839_precopy_08_29e360,precopy,idle,ok,2026-05-04T10:58:39Z,2026-05-04T10:59:04Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0008\summary.json,,False,,,1777892335059.0,1777892335059.0,events(offset_corrected),1300.0,900.0,1561.0,1.0,1561.0,1561.0,1561.0,1300.0,1649.0,1350.0,1549.0,1289.0,87.0,70.0,21.0,11.0,0.0,0.0,86.0,71.0,71.0,60.0,15.0,11.0,1777892334089.0,1777892335650.0,326.0,53.0,157.0,73.0,57.0,929.0,124.0,67.0,813.0,49.0,20.0,69.0,shared,inventory_only,,,,843.0,982.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.775,5.747,5.77,5.298,5.32,5.169,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-0.005000000000000782,-0.44899999999999984,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0009,0009,9,20260504_105905_precopy_09_88f4d6,precopy,idle,ok,2026-05-04T10:59:05Z,2026-05-04T10:59:29Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0009\summary.json,,False,,,1777892360173.0,1777892360173.0,events(offset_corrected),1234.0,900.0,1463.0,1.0,1463.0,1463.0,1463.0,1299.0,1551.0,1349.0,1449.0,1289.0,87.0,70.0,20.0,10.0,0.0,0.0,86.0,71.0,71.0,60.0,15.0,11.0,1777892359256.0,1777892360719.0,308.0,54.0,164.0,69.0,56.0,895.0,119.0,63.0,784.0,48.0,23.0,71.0,shared,inventory_only,,,,863.0,1016.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.57,5.101,5.78,5.75,5.45,5.367,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.20999999999999996,0.649,164.0,164.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0010,0010,10,20260504_105930_precopy_10_f751bd,precopy,idle,ok,2026-05-04T10:59:30Z,2026-05-04T10:59:54Z,,True,True,False,20260504_105532_precopy_idle_c9e56c,/mnt/criu/runs/batches/20260504_105532_precopy_idle_c9e56c,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_105532_precopy_idle_c9e56c\runs\0010\summary.json,,False,,,1777892385039.0,1777892385039.0,events(offset_corrected),1324.0,950.0,1562.0,1.0,1562.0,1562.0,1562.0,1350.0,1650.0,1399.0,1550.0,1340.0,86.0,71.0,22.0,10.0,0.0,0.0,86.0,71.0,69.0,61.0,17.0,10.0,1777892384004.0,1777892385566.0,322.0,52.0,165.0,70.0,57.0,932.0,83.0,26.0,819.0,87.0,19.0,106.0,shared,inventory_only,,,,888.0,1053.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.495,4.959,5.735,6.018,5.45,5.295,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,0.2400000000000002,1.0590000000000002,212.0,212.0
