method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,idle,False,vip_http_client_visible_total_down_ms,100,1679.07,1613.5,546.4529932559468,151.0,1462.0,7011.0,1571.9671813974235,1786.1728186025764
precopy,idle,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,idle,False,vip_http_client_visible_outage_span_ms,100,1679.07,1613.5,546.4529932559468,151.0,1462.0,7011.0,1571.9671813974235,1786.1728186025764
precopy,idle,False,vip_http_cutover_near_downtime_ms,100,1679.07,1613.5,546.4529932559468,151.0,1462.0,7011.0,1571.9671813974235,1786.1728186025764
precopy,idle,False,vip_http_downtime_ms,100,1679.07,1613.5,546.4529932559468,151.0,1462.0,7011.0,1571.9671813974235,1786.1728186025764
precopy,idle,False,vip_l4_downtime_ms,100,1380.83,1301.0,548.8749384703294,50.0,1249.0,6800.0,1273.2524888581515,1488.4075111418483
precopy,idle,False,http_downtime_ms,100,1428.13,1371.0,555.9479056875597,164.0,1219.0,6859.0,1319.1662127571913,1537.093787242809
precopy,idle,False,l4_downtime_ms,100,985.33,949.0,538.2974855312749,50.25,849.0,6302.0,879.8256315390231,1090.834368460977
precopy,idle,False,vip_http_downphase_ms,100,1666.03,1600.0,546.5176155819813,151.0,1449.0,6999.0,1558.914515654261,1773.1454843457389
precopy,idle,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,idle,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,idle,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,idle,False,postcopy_cutover_to_health_ok_ms,100,1009.61,1011.5,34.13043755472185,41.5,891.0,1072.0,1002.9205571616152,1016.2994428383848
precopy,idle,False,latency_src_p50_ms,100,5.61295,5.68,0.3004105734262072,0.35749999999999993,4.55,6.065,5.55407060955096,5.671829390449039
precopy,idle,False,latency_dst_p50_ms,100,5.822499999999999,5.88,0.3336396319989639,0.2887499999999994,3.94,6.295,5.757107833746682,5.887892166253316
precopy,idle,False,latency_vip_p50_ms,100,5.394499999999999,5.4,0.13235722248307547,0.17124999999999968,4.85,5.67,5.368558461083941,5.420441538916057
precopy,idle,False,latency_src_avg_ms,100,5.3305,5.3495,0.30545986196671937,0.3310000000000004,4.461,6.261,5.2706309671822655,5.390369032817734
precopy,idle,False,latency_dst_avg_ms,100,5.689589999999999,5.718,0.3305993667766641,0.4455,4.627,6.59,5.624793714780598,5.7543862852194
precopy,idle,False,latency_vip_avg_ms,100,5.15079,5.166499999999999,0.20547305827472293,0.30600000000000005,4.466,5.54,5.110518020598824,5.191061979401176
precopy,idle,False,latency_delta_dst_src_p50_ms,100,0.20955000000000004,0.2549999999999999,0.457537929652512,0.4824999999999997,-2.06,1.4250000000000007,0.11987421363200562,0.29922578636799446
precopy,idle,False,dl_avg_bps,0,,,,,,,,
precopy,idle,False,stream_disconnects,100,18.3,18.0,1.1590661514488048,0.0,18.0,29.0,18.07282720874609,18.52717279125391
precopy,idle,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,idle,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
