method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,cpu,False,vip_http_client_visible_total_down_ms,1,1817.0,1817.0,0.0,0.0,1817.0,1817.0,1817.0,1817.0
precopy,cpu,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,cpu,False,vip_http_client_visible_outage_span_ms,1,1817.0,1817.0,0.0,0.0,1817.0,1817.0,1817.0,1817.0
precopy,cpu,False,vip_http_cutover_near_downtime_ms,1,1817.0,1817.0,0.0,0.0,1817.0,1817.0,1817.0,1817.0
precopy,cpu,False,vip_http_downtime_ms,1,1817.0,1817.0,0.0,0.0,1817.0,1817.0,1817.0,1817.0
precopy,cpu,False,vip_l4_downtime_ms,1,1553.0,1553.0,0.0,0.0,1553.0,1553.0,1553.0,1553.0
precopy,cpu,False,http_downtime_ms,1,1497.0,1497.0,0.0,0.0,1497.0,1497.0,1497.0,1497.0
precopy,cpu,False,l4_downtime_ms,1,1003.0,1003.0,0.0,0.0,1003.0,1003.0,1003.0,1003.0
precopy,cpu,False,vip_http_downphase_ms,1,1804.0,1804.0,0.0,0.0,1804.0,1804.0,1804.0,1804.0
precopy,cpu,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,cpu,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,cpu,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,cpu,False,postcopy_cutover_to_health_ok_ms,1,1050.0,1050.0,0.0,0.0,1050.0,1050.0,1050.0,1050.0
precopy,cpu,False,latency_src_p50_ms,1,5.69,5.69,0.0,0.0,5.69,5.69,5.69,5.69
precopy,cpu,False,latency_dst_p50_ms,1,4.16,4.16,0.0,0.0,4.16,4.16,4.16,4.16
precopy,cpu,False,latency_vip_p50_ms,1,5.235,5.235,0.0,0.0,5.235,5.235,5.235,5.235
precopy,cpu,False,latency_src_avg_ms,1,6.767,6.767,0.0,0.0,6.767,6.767,6.767,6.767
precopy,cpu,False,latency_dst_avg_ms,1,4.621,4.621,0.0,0.0,4.621,4.621,4.621,4.621
precopy,cpu,False,latency_vip_avg_ms,1,5.823,5.823,0.0,0.0,5.823,5.823,5.823,5.823
precopy,cpu,False,latency_delta_dst_src_p50_ms,1,-1.5300000000000002,-1.5300000000000002,0.0,0.0,-1.5300000000000002,-1.5300000000000002,-1.5300000000000002,-1.5300000000000002
precopy,cpu,False,dl_avg_bps,0,,,,,,,,
precopy,cpu,False,stream_disconnects,1,22.0,22.0,0.0,0.0,22.0,22.0,22.0,22.0
precopy,cpu,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,cpu,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
