method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,download,False,vip_http_client_visible_total_down_ms,1,1768.0,1768.0,0.0,0.0,1768.0,1768.0,1768.0,1768.0
precopy,download,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,download,False,vip_http_client_visible_outage_span_ms,1,1768.0,1768.0,0.0,0.0,1768.0,1768.0,1768.0,1768.0
precopy,download,False,vip_http_cutover_near_downtime_ms,1,1768.0,1768.0,0.0,0.0,1768.0,1768.0,1768.0,1768.0
precopy,download,False,vip_http_downtime_ms,1,1768.0,1768.0,0.0,0.0,1768.0,1768.0,1768.0,1768.0
precopy,download,False,vip_l4_downtime_ms,1,1350.0,1350.0,0.0,0.0,1350.0,1350.0,1350.0,1350.0
precopy,download,False,http_downtime_ms,1,1495.0,1495.0,0.0,0.0,1495.0,1495.0,1495.0,1495.0
precopy,download,False,l4_downtime_ms,1,950.0,950.0,0.0,0.0,950.0,950.0,950.0,950.0
precopy,download,False,vip_http_downphase_ms,1,1749.0,1749.0,0.0,0.0,1749.0,1749.0,1749.0,1749.0
precopy,download,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,download,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,download,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,download,False,postcopy_cutover_to_health_ok_ms,1,1057.0,1057.0,0.0,0.0,1057.0,1057.0,1057.0,1057.0
precopy,download,False,latency_src_p50_ms,1,8.53,8.53,0.0,0.0,8.53,8.53,8.53,8.53
precopy,download,False,latency_dst_p50_ms,1,7.58,7.58,0.0,0.0,7.58,7.58,7.58,7.58
precopy,download,False,latency_vip_p50_ms,1,8.2,8.2,0.0,0.0,8.2,8.2,8.2,8.2
precopy,download,False,latency_src_avg_ms,1,9.177,9.177,0.0,0.0,9.177,9.177,9.177,9.177
precopy,download,False,latency_dst_avg_ms,1,8.403,8.403,0.0,0.0,8.403,8.403,8.403,8.403
precopy,download,False,latency_vip_avg_ms,1,9.261,9.261,0.0,0.0,9.261,9.261,9.261,9.261
precopy,download,False,latency_delta_dst_src_p50_ms,1,-0.9499999999999993,-0.9499999999999993,0.0,0.0,-0.9499999999999993,-0.9499999999999993,-0.9499999999999993,-0.9499999999999993
precopy,download,False,dl_avg_bps,1,235317773.788,235317773.788,0.0,0.0,235317773.788,235317773.788,235317773.788,235317773.788
precopy,download,False,stream_disconnects,1,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0
precopy,download,False,download_disconnects,1,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
precopy,download,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
