run_id,run_dir,run_number,run_index,batch_id,batch_dir,analysis_source,method,load,control_run,excluded,breakdown_kind,basis_start_ms,basis_end_ms,basis_total_ms,basis_metric,phase_order,phase_id,phase_label,phase_group,start_ms,end_ms,duration_ms,rel_start_ms,rel_end_ms,status,marker_start,marker_end,quality_flags,coverage_ok
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,client_visible_vip_http,1779041573403,1779041575015,1612,vip_http_client_visible_total_down_ms,1,down_segment_1,VIP HTTP down segment 1,http_down,1779041573403,1779041575015,1612,0,1612,observed_down,,,,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,1,final_dump,Final dump,dump,1779041572959,1779041573398,439,0,439,event,final_dump_start_ms_event,final_dump_done_ms_event,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,2,unknown_gap,Unknown / not explained by markers,unknown,1779041573398,1779041573421,23,439,462,unknown,,,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,3,transfer,Transfer,transfer,1779041573421,1779041573474,53,462,515,event,transfer_start_ms_event,transfer_done_ms_event,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,4,unknown_gap,Unknown / not explained by markers,unknown,1779041573474,1779041573533,59,515,574,unknown,,,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,5,restore,Restore,restore,1779041573533,1779041574412,879,574,1453,event,restore_start_ms_event,restore_done_ms_event,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,6,restore_to_cutover,Restore to cutover,handoff,1779041574412,1779041574431,19,1453,1472,event,restore_done_ms_event,vip_cutover_start_ms_event,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,7,vip_cutover,VIP cutover,cutover,1779041574431,1779041575237,806,1472,2278,event,vip_cutover_start_ms_event,vip_cutover_done_ms_event,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,8,unknown_gap,Unknown / not explained by markers,unknown,1779041575237,1779041575292,55,2278,2333,unknown,,,unknown_present,True
20260517_181238_precopy_01_a084d7,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260517_181237_precopy_idle_3e8df4\runs\0001,0001,1,20260517_181237_precopy_idle_3e8df4,/mnt/criu/runs/batches/20260517_181237_precopy_idle_3e8df4,,precopy,idle,False,False,event_critical_path,1779041572959,1779041575350,2391,,9,health_wait,Health wait,health,1779041575292,1779041575350,58,2333,2391,event,health_wait_start_ms_event,health_ok_ms_event,unknown_present,True
