method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,idle,False,vip_http_client_visible_total_down_ms,1,1612.0,1612.0,0.0,0.0,1612.0,1612.0,1612.0,1612.0
precopy,idle,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,idle,False,vip_http_client_visible_outage_span_ms,1,1612.0,1612.0,0.0,0.0,1612.0,1612.0,1612.0,1612.0
precopy,idle,False,vip_http_cutover_near_downtime_ms,1,1612.0,1612.0,0.0,0.0,1612.0,1612.0,1612.0,1612.0
precopy,idle,False,vip_http_downtime_ms,1,1612.0,1612.0,0.0,0.0,1612.0,1612.0,1612.0,1612.0
precopy,idle,False,vip_l4_downtime_ms,1,1249.0,1249.0,0.0,0.0,1249.0,1249.0,1249.0,1249.0
precopy,idle,False,http_downtime_ms,1,1351.0,1351.0,0.0,0.0,1351.0,1351.0,1351.0,1351.0
precopy,idle,False,l4_downtime_ms,1,850.0,850.0,0.0,0.0,850.0,850.0,850.0,850.0
precopy,idle,False,vip_http_downphase_ms,1,1600.0,1600.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0
precopy,idle,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,idle,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,idle,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,idle,False,postcopy_cutover_to_health_ok_ms,1,919.0,919.0,0.0,0.0,919.0,919.0,919.0,919.0
precopy,idle,False,latency_src_p50_ms,1,5.41,5.41,0.0,0.0,5.41,5.41,5.41,5.41
precopy,idle,False,latency_dst_p50_ms,1,5.79,5.79,0.0,0.0,5.79,5.79,5.79,5.79
precopy,idle,False,latency_vip_p50_ms,1,5.28,5.28,0.0,0.0,5.28,5.28,5.28,5.28
precopy,idle,False,latency_src_avg_ms,1,5.027,5.027,0.0,0.0,5.027,5.027,5.027,5.027
precopy,idle,False,latency_dst_avg_ms,1,5.486,5.486,0.0,0.0,5.486,5.486,5.486,5.486
precopy,idle,False,latency_vip_avg_ms,1,5.245,5.245,0.0,0.0,5.245,5.245,5.245,5.245
precopy,idle,False,latency_delta_dst_src_p50_ms,1,0.3799999999999999,0.3799999999999999,0.0,0.0,0.3799999999999999,0.3799999999999999,0.3799999999999999,0.3799999999999999
precopy,idle,False,dl_avg_bps,0,,,,,,,,
precopy,idle,False,stream_disconnects,1,18.0,18.0,0.0,0.0,18.0,18.0,18.0,18.0
precopy,idle,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,idle,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
