method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,upload,False,vip_http_client_visible_total_down_ms,1,1962.0,1962.0,0.0,0.0,1962.0,1962.0,1962.0,1962.0
precopy,upload,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,upload,False,vip_http_client_visible_outage_span_ms,1,1962.0,1962.0,0.0,0.0,1962.0,1962.0,1962.0,1962.0
precopy,upload,False,vip_http_cutover_near_downtime_ms,1,1962.0,1962.0,0.0,0.0,1962.0,1962.0,1962.0,1962.0
precopy,upload,False,vip_http_downtime_ms,1,1962.0,1962.0,0.0,0.0,1962.0,1962.0,1962.0,1962.0
precopy,upload,False,vip_l4_downtime_ms,1,1696.0,1696.0,0.0,0.0,1696.0,1696.0,1696.0,1696.0
precopy,upload,False,http_downtime_ms,1,1668.0,1668.0,0.0,0.0,1668.0,1668.0,1668.0,1668.0
precopy,upload,False,l4_downtime_ms,1,1255.0,1255.0,0.0,0.0,1255.0,1255.0,1255.0,1255.0
precopy,upload,False,vip_http_downphase_ms,1,1950.0,1950.0,0.0,0.0,1950.0,1950.0,1950.0,1950.0
precopy,upload,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,upload,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,upload,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,upload,False,postcopy_cutover_to_health_ok_ms,1,1041.0,1041.0,0.0,0.0,1041.0,1041.0,1041.0,1041.0
precopy,upload,False,latency_src_p50_ms,1,6.545,6.545,0.0,0.0,6.545,6.545,6.545,6.545
precopy,upload,False,latency_dst_p50_ms,1,4.12,4.12,0.0,0.0,4.12,4.12,4.12,4.12
precopy,upload,False,latency_vip_p50_ms,1,5.42,5.42,0.0,0.0,5.42,5.42,5.42,5.42
precopy,upload,False,latency_src_avg_ms,1,7.965,7.965,0.0,0.0,7.965,7.965,7.965,7.965
precopy,upload,False,latency_dst_avg_ms,1,5.962,5.962,0.0,0.0,5.962,5.962,5.962,5.962
precopy,upload,False,latency_vip_avg_ms,1,7.048,7.048,0.0,0.0,7.048,7.048,7.048,7.048
precopy,upload,False,latency_delta_dst_src_p50_ms,1,-2.425,-2.425,0.0,0.0,-2.425,-2.425,-2.425,-2.425
precopy,upload,False,dl_avg_bps,0,,,,,,,,
precopy,upload,False,stream_disconnects,1,23.0,23.0,0.0,0.0,23.0,23.0,23.0,23.0
precopy,upload,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,upload,False,upload_disconnects,1,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
