method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,wrk1,False,vip_http_client_visible_total_down_ms,1,2411.0,2411.0,0.0,0.0,2411.0,2411.0,2411.0,2411.0
precopy,wrk1,False,vip_http_client_visible_down_segments,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,wrk1,False,vip_http_client_visible_outage_span_ms,1,2411.0,2411.0,0.0,0.0,2411.0,2411.0,2411.0,2411.0
precopy,wrk1,False,vip_http_cutover_near_downtime_ms,1,2411.0,2411.0,0.0,0.0,2411.0,2411.0,2411.0,2411.0
precopy,wrk1,False,vip_http_downtime_ms,1,2411.0,2411.0,0.0,0.0,2411.0,2411.0,2411.0,2411.0
precopy,wrk1,False,vip_l4_downtime_ms,1,2000.0,2000.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0
precopy,wrk1,False,http_downtime_ms,1,2052.0,2052.0,0.0,0.0,2052.0,2052.0,2052.0,2052.0
precopy,wrk1,False,l4_downtime_ms,1,1451.0,1451.0,0.0,0.0,1451.0,1451.0,1451.0,1451.0
precopy,wrk1,False,vip_http_downphase_ms,1,2399.0,2399.0,0.0,0.0,2399.0,2399.0,2399.0,2399.0
precopy,wrk1,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,wrk1,False,postcopy_cutover_to_health_ok_ms,1,1057.0,1057.0,0.0,0.0,1057.0,1057.0,1057.0,1057.0
precopy,wrk1,False,latency_src_p50_ms,1,8.655,8.655,0.0,0.0,8.655,8.655,8.655,8.655
precopy,wrk1,False,latency_dst_p50_ms,1,8.415,8.415,0.0,0.0,8.415,8.415,8.415,8.415
precopy,wrk1,False,latency_vip_p50_ms,1,9.09,9.09,0.0,0.0,9.09,9.09,9.09,9.09
precopy,wrk1,False,latency_src_avg_ms,1,10.566,10.566,0.0,0.0,10.566,10.566,10.566,10.566
precopy,wrk1,False,latency_dst_avg_ms,1,8.333,8.333,0.0,0.0,8.333,8.333,8.333,8.333
precopy,wrk1,False,latency_vip_avg_ms,1,10.073,10.073,0.0,0.0,10.073,10.073,10.073,10.073
precopy,wrk1,False,latency_delta_dst_src_p50_ms,1,-0.2400000000000002,-0.2400000000000002,0.0,0.0,-0.2400000000000002,-0.2400000000000002,-0.2400000000000002,-0.2400000000000002
precopy,wrk1,False,dl_avg_bps,0,,,,,,,,
precopy,wrk1,False,stream_disconnects,1,25.0,25.0,0.0,0.0,25.0,25.0,25.0,25.0
precopy,wrk1,False,download_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,wrk1,False,upload_disconnects,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
