method,load,control_run,metric,n,mean,median,std,iqr,min,max,ci_low,ci_high
precopy,stream,False,vip_http_client_visible_total_down_ms,100,948.67,912.0,67.63091382681817,100.0,860.0,1111.0,935.4145844657904,961.9254155342095
precopy,stream,False,vip_http_client_visible_down_segments,100,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
precopy,stream,False,vip_http_client_visible_outage_span_ms,100,948.67,912.0,67.63091382681817,100.0,860.0,1111.0,935.4145844657904,961.9254155342095
precopy,stream,False,vip_http_cutover_near_downtime_ms,100,948.67,912.0,67.63091382681817,100.0,860.0,1111.0,935.4145844657904,961.9254155342095
precopy,stream,False,vip_http_downtime_ms,100,948.67,912.0,67.63091382681817,100.0,860.0,1111.0,935.4145844657904,961.9254155342095
precopy,stream,False,vip_l4_downtime_ms,100,796.39,800.0,41.65973154406102,13.75,697.0,1000.0,788.2248426568033,804.5551573431967
precopy,stream,False,http_downtime_ms,100,782.79,762.0,63.992943897642874,113.25,671.0,962.0,770.2476134695927,795.3323865304072
precopy,stream,False,l4_downtime_ms,100,573.73,551.0,39.249488190705414,50.0,500.0,751.0,566.0372416734588,581.4227583265413
precopy,stream,False,vip_http_downphase_ms,100,937.26,900.0,67.59155706046863,101.0,849.0,1100.0,924.0122982502497,950.5077017497503
precopy,stream,False,postcopy_restore_to_readiness_ms,0,,,,,,,,
precopy,stream,False,postcopy_readiness_gate_ms,0,,,,,,,,
precopy,stream,False,postcopy_warmup_duration_ms,0,,,,,,,,
precopy,stream,False,postcopy_cutover_to_health_ok_ms,100,717.83,717.0,9.86172583088966,14.0,696.0,743.0,715.8971372546048,719.7628627453953
precopy,stream,False,latency_src_p50_ms,100,0.96295,0.9675,0.05925077248782535,0.0824999999999999,0.82,1.09,0.9513370619867685,0.9745629380132315
precopy,stream,False,latency_dst_p50_ms,100,1.0792,1.085,0.09875927267550089,0.14249999999999985,0.88,1.28,1.0598435382416647,1.0985564617583352
precopy,stream,False,latency_vip_p50_ms,100,0.9270500000000003,0.93,0.04334554023871266,0.0625,0.835,1.04,0.9185544302241694,0.9355455697758311
precopy,stream,False,latency_src_avg_ms,100,1.0424600000000002,1.038,0.08031144175500574,0.11175000000000013,0.896,1.288,1.0267192466613704,1.05820075333863
precopy,stream,False,latency_dst_avg_ms,100,1.3885399999999999,1.3395000000000001,0.23240427246198778,0.3154999999999999,0.969,1.942,1.3429895996121268,1.434090400387873
precopy,stream,False,latency_vip_avg_ms,100,0.99686,0.9855,0.06215019604705096,0.08425000000000005,0.861,1.156,0.9846787854115676,1.0090412145884322
precopy,stream,False,latency_delta_dst_src_p50_ms,100,0.11625,0.11250000000000004,0.10982855096039738,0.16624999999999998,-0.12,0.31999999999999995,0.09472399956433993,0.13777600043566007
precopy,stream,False,dl_avg_bps,0,,,,,,,,
precopy,stream,False,stream_disconnects,100,20.37,20.0,0.6301354672375672,1.0,20.0,22.0,20.246495717883306,20.493504282116696
precopy,stream,False,download_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precopy,stream,False,upload_disconnects,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
