run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0001,0001,1,20260721_083247_precopy_01_d1703c,precopy,upload,ok,2026-07-21T08:32:47Z,2026-07-21T08:33:07Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0001\summary.json,,False,,,1784622778709.0,1784622778709.0,events(offset_corrected),731.0,550.0,912.0,1.0,912.0,912.0,912.0,750.0,1001.0,800.0,900.0,739.0,90.0,60.0,13.0,6.0,0.0,0.0,90.0,59.0,80.0,54.0,10.0,5.0,1784622778108.0,1784622779020.0,217.0,37.0,103.0,46.0,38.0,499.0,96.0,58.0,414.0,27.0,12.0,39.0,shared,inventory_only,,,,656.0,725.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.96,1.313,1.3,2.149,1.05,1.459,16.0,,0.0,0.0,0.0,,0.0,,953810944.0,2367.0,402961953.528,2.0,,0,False,0.3400000000000001,0.8360000000000001,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0002,0002,2,20260721_083307_precopy_02_999003,precopy,upload,ok,2026-07-21T08:33:07Z,2026-07-21T08:33:27Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0002\summary.json,,False,,,1784622798780.0,1784622798780.0,events(offset_corrected),766.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,900.0,790.0,90.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784622798145.0,1784622799056.0,200.0,31.0,98.0,45.0,34.0,528.0,86.0,52.0,446.0,30.0,13.0,43.0,shared,inventory_only,,,,650.0,715.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.975,1.142,1.11,1.543,0.955,1.216,16.0,,0.0,0.0,0.0,,0.0,,851443712.0,2334.0,364800219.366,3.0,,0,False,0.13500000000000012,0.401,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0003,0003,3,20260721_083327_precopy_03_c20cdb,precopy,upload,ok,2026-07-21T08:33:27Z,2026-07-21T08:33:47Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0003\summary.json,,False,,,1784622818912.0,1784622818912.0,events(offset_corrected),839.0,550.0,1011.0,1.0,1011.0,1011.0,1011.0,750.0,1100.0,800.0,1000.0,740.0,92.0,59.0,15.0,6.0,0.0,0.0,92.0,59.0,82.0,54.0,10.0,5.0,1784622818204.0,1784622819215.0,291.0,35.0,102.0,40.0,37.0,529.0,96.0,59.0,443.0,27.0,12.0,39.0,shared,inventory_only,,,,632.0,699.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.18,1.517,1.33,2.226,1.325,1.547,17.0,,0.0,0.0,0.0,,0.0,,852164608.0,2495.0,341548941.082,3.0,,0,False,0.15000000000000013,0.7090000000000001,261.0,261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0004,0004,4,20260721_083348_precopy_04_17dd4d,precopy,upload,ok,2026-07-21T08:33:48Z,2026-07-21T08:34:08Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0004\summary.json,,False,,,1784622839484.0,1784622839484.0,events(offset_corrected),771.0,601.0,961.0,1.0,961.0,961.0,961.0,800.0,1051.0,850.0,949.0,790.0,91.0,60.0,14.0,6.0,0.0,0.0,91.0,59.0,80.0,54.0,11.0,5.0,1784622838845.0,1784622839806.0,202.0,36.0,99.0,40.0,39.0,562.0,95.0,56.0,476.0,30.0,11.0,41.0,shared,inventory_only,,,,660.0,724.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.1,1.492,1.27,1.886,1.0,1.48,17.0,,0.0,0.0,0.0,,0.0,,902561792.0,2411.0,374351635.006,3.0,,0,False,0.16999999999999993,0.3939999999999999,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0005,0005,5,20260721_083408_precopy_05_c98348,precopy,upload,ok,2026-07-21T08:34:08Z,2026-07-21T08:34:28Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0005\summary.json,,False,,,1784622859763.0,1784622859763.0,events(offset_corrected),761.0,550.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,900.0,789.0,91.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,80.0,53.0,10.0,6.0,1784622859132.0,1784622860043.0,208.0,34.0,98.0,41.0,39.0,533.0,91.0,52.0,450.0,31.0,11.0,42.0,shared,inventory_only,,,,633.0,700.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.13,1.334,1.13,1.506,1.06,1.342,16.0,,0.0,0.0,0.0,,0.0,,931921920.0,2362.0,394547806.943,3.0,,0,False,0.0,0.17199999999999993,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0006,0006,6,20260721_083428_precopy_06_e5d629,precopy,upload,ok,2026-07-21T08:34:28Z,2026-07-21T08:34:48Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0006\summary.json,,False,,,1784622879849.0,1784622879849.0,events(offset_corrected),751.0,550.0,912.0,1.0,912.0,912.0,912.0,800.0,1000.0,850.0,900.0,790.0,91.0,59.0,14.0,5.0,0.0,0.0,90.0,59.0,80.0,53.0,10.0,6.0,1784622879222.0,1784622880134.0,211.0,35.0,93.0,42.0,37.0,521.0,90.0,53.0,435.0,33.0,14.0,47.0,shared,inventory_only,,,,650.0,713.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.04,1.327,1.29,1.491,1.24,1.58,16.0,,0.0,0.0,0.0,,0.0,,935264256.0,2368.0,394959567.568,3.0,,0,False,0.25,0.16400000000000015,112.0,112.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0007,0007,7,20260721_083449_precopy_07_c410a8,precopy,upload,ok,2026-07-21T08:34:49Z,2026-07-21T08:35:08Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0007\summary.json,,False,,,1784622900454.0,1784622900454.0,events(offset_corrected),851.0,550.0,1011.0,1.0,1011.0,1011.0,1011.0,800.0,1100.0,850.0,1000.0,790.0,93.0,59.0,16.0,5.0,0.0,0.0,92.0,59.0,82.0,53.0,10.0,6.0,1784622899734.0,1784622900745.0,298.0,37.0,104.0,40.0,38.0,536.0,93.0,55.0,451.0,30.0,11.0,41.0,shared,inventory_only,,,,629.0,696.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.23,1.579,1.34,1.571,1.25,1.588,16.0,,0.0,0.0,0.0,,0.0,,927989760.0,2458.0,377538551.668,3.0,,0,False,0.1100000000000001,-0.008000000000000007,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0008,0008,8,20260721_083509_precopy_08_6d36b4,precopy,upload,ok,2026-07-21T08:35:09Z,2026-07-21T08:35:29Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0008\summary.json,,False,,,1784622920667.0,1784622920667.0,events(offset_corrected),857.0,550.0,1011.0,1.0,1011.0,1011.0,1011.0,800.0,1100.0,850.0,1000.0,790.0,92.0,59.0,16.0,5.0,0.0,0.0,91.0,60.0,81.0,54.0,10.0,6.0,1784622919939.0,1784622920950.0,299.0,37.0,92.0,43.0,40.0,530.0,97.0,57.0,443.0,30.0,12.0,42.0,shared,inventory_only,,,,647.0,712.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.92,1.135,1.11,1.315,0.89,1.138,16.0,,0.0,0.0,0.0,,0.0,,918290432.0,2432.0,377586526.316,3.0,,0,False,0.19000000000000006,0.17999999999999994,211.0,211.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0009,0009,9,20260721_083529_precopy_09_4dadc5,precopy,upload,ok,2026-07-21T08:35:30Z,2026-07-21T08:35:49Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0009\summary.json,,False,,,1784622940995.0,1784622940995.0,events(offset_corrected),731.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,899.0,790.0,90.0,60.0,13.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784622940395.0,1784622941306.0,198.0,37.0,100.0,43.0,40.0,522.0,91.0,51.0,439.0,32.0,12.0,44.0,shared,inventory_only,,,,656.0,725.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.06,1.282,1.2,1.882,1.03,1.384,16.0,,0.0,0.0,0.0,,0.0,,935264256.0,2346.0,398663365.729,3.0,,0,False,0.1399999999999999,0.5999999999999999,111.0,111.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0010,0010,10,20260721_083550_precopy_10_cc7382,precopy,upload,ok,2026-07-21T08:35:50Z,2026-07-21T08:36:09Z,,True,True,False,20260721_083246_precopy_upload_b97404,/mnt/criu/runs/batches/20260721_083246_precopy_upload_b97404,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_083246_precopy_upload_b97404\runs\0010\summary.json,,False,,,1784622961469.0,1784622961469.0,events(offset_corrected),738.0,600.0,911.0,1.0,911.0,911.0,911.0,800.0,1000.0,850.0,899.0,790.0,90.0,59.0,13.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784622960862.0,1784622961773.0,194.0,33.0,91.0,42.0,35.0,547.0,86.0,51.0,468.0,28.0,13.0,41.0,shared,inventory_only,,,,629.0,698.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,1.198,1.02,1.868,0.95,1.291,16.0,,0.0,0.0,0.0,,0.0,,945225728.0,2349.0,402394945.934,3.0,,0,False,0.08000000000000007,0.6700000000000002,111.0,111.0
