run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0001,0001,1,20260721_122120_precopy_01_ebe9ed,precopy,wrk2,ok,2026-07-21T12:21:20Z,2026-07-21T12:21:39Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0001\summary.json,,False,,,1784636491230.0,1784636491230.0,events(offset_corrected),760.0,600.0,961.0,1.0,961.0,961.0,961.0,800.0,1044.0,850.0,950.0,790.0,90.0,60.0,14.0,6.0,0.0,0.0,90.0,59.0,79.0,54.0,11.0,5.0,1784636490595.0,1784636491556.0,215.0,33.0,91.0,38.0,38.0,523.0,98.0,60.0,435.0,28.0,18.0,46.0,shared,inventory_only,,,,671.0,738.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.42,3.704,4.665,4.782,4.485,4.077,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,3.245,1.0779999999999998,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0002,0002,2,20260721_122140_precopy_02_961feb,precopy,wrk2,ok,2026-07-21T12:21:40Z,2026-07-21T12:22:05Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0002\summary.json,,False,,,1784636516854.0,1784636516854.0,events(offset_corrected),5921.0,5700.0,6061.0,1.0,6061.0,6061.0,6061.0,5900.0,6144.0,5950.0,6050.0,5890.0,193.0,60.0,116.0,6.0,0.0,0.0,193.0,59.0,80.0,54.0,113.0,5.0,1784636511101.0,1784636517162.0,225.0,48.0,102.0,41.0,50.0,5605.0,126.0,76.0,5499.0,30.0,10.0,40.0,shared,inventory_only,,,,654.0,727.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,8.44,9.215,4.58,5.014,6.87,7.984,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,-3.8599999999999994,-4.201,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0003,0003,3,20260721_122205_precopy_03_b80dc7,precopy,wrk2,ok,2026-07-21T12:22:05Z,2026-07-21T12:22:25Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0003\summary.json,,False,,,1784636536914.0,1784636536914.0,events(offset_corrected),971.0,650.0,1152.0,1.0,1152.0,1152.0,1152.0,850.0,1240.0,900.0,1140.0,840.0,93.0,59.0,18.0,6.0,0.0,0.0,93.0,59.0,81.0,54.0,12.0,5.0,1784636536065.0,1784636537217.0,302.0,54.0,94.0,37.0,81.0,540.0,133.0,52.0,456.0,32.0,23.0,55.0,shared,inventory_only,,,,633.0,699.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,8.01,8.936,5.65,7.263,7.84,8.428,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,-2.3599999999999994,-1.673,302.0,302.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0004,0004,4,20260721_122226_precopy_04_d207a4,precopy,wrk2,ok,2026-07-21T12:22:26Z,2026-07-21T12:22:45Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0004\summary.json,,False,,,1784636557103.0,1784636557103.0,events(offset_corrected),951.0,650.0,1110.0,1.0,1110.0,1110.0,1110.0,900.0,1190.0,950.0,1100.0,890.0,94.0,59.0,18.0,5.0,0.0,0.0,94.0,58.0,81.0,53.0,13.0,5.0,1784636556272.0,1784636557382.0,317.0,44.0,98.0,44.0,53.0,581.0,122.0,69.0,480.0,32.0,14.0,46.0,shared,inventory_only,,,,640.0,706.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,8.715,9.723,9.68,8.073,9.71,9.769,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.9649999999999999,-1.6500000000000004,210.0,210.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0005,0005,5,20260721_122246_precopy_05_8c0272,precopy,wrk2,ok,2026-07-21T12:22:46Z,2026-07-21T12:23:06Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0005\summary.json,,False,,,1784636577611.0,1784636577611.0,events(offset_corrected),795.0,600.0,1011.0,1.0,1011.0,1011.0,1011.0,849.0,1091.0,900.0,1000.0,839.0,91.0,60.0,15.0,6.0,0.0,0.0,90.0,60.0,79.0,54.0,11.0,6.0,1784636576933.0,1784636577944.0,212.0,34.0,89.0,39.0,47.0,562.0,114.0,67.0,459.0,36.0,15.0,51.0,shared,inventory_only,,,,672.0,736.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.585,6.945,8.89,7.81,8.105,8.545,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,2.3050000000000006,0.8649999999999993,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0006,0006,6,20260721_122306_precopy_06_2c5caa,precopy,wrk2,ok,2026-07-21T12:23:06Z,2026-07-21T12:23:26Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0006\summary.json,,False,,,1784636597866.0,1784636597866.0,events(offset_corrected),910.0,700.0,1111.0,1.0,1111.0,1111.0,1111.0,949.0,1189.0,1000.0,1099.0,939.0,93.0,60.0,17.0,6.0,0.0,0.0,93.0,59.0,79.0,54.0,14.0,5.0,1784636597073.0,1784636598184.0,204.0,44.0,93.0,41.0,73.0,602.0,171.0,98.0,475.0,29.0,18.0,47.0,shared,inventory_only,,,,662.0,729.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,8.06,8.95,10.22,8.907,8.8,9.175,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,2.16,-0.04299999999999926,162.0,162.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0007,0007,7,20260721_122326_precopy_07_98d146,precopy,wrk2,ok,2026-07-21T12:23:26Z,2026-07-21T12:23:46Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0007\summary.json,,False,,,1784636617924.0,1784636617924.0,events(offset_corrected),808.0,651.0,1011.0,1.0,1011.0,1011.0,1011.0,850.0,1091.0,900.0,1000.0,840.0,91.0,59.0,15.0,6.0,0.0,0.0,91.0,59.0,79.0,54.0,12.0,5.0,1784636617223.0,1784636618234.0,212.0,36.0,88.0,44.0,53.0,542.0,108.0,55.0,454.0,33.0,28.0,61.0,shared,inventory_only,,,,641.0,707.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.48,8.289,8.48,8.304,8.41,8.679,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,1.0,0.015000000000000568,161.0,161.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0008,0008,8,20260721_122346_precopy_08_931cc0,precopy,wrk2,ok,2026-07-21T12:23:47Z,2026-07-21T12:24:07Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0008\summary.json,,False,,,1784636638583.0,1784636638583.0,events(offset_corrected),913.0,650.0,1102.0,1.0,1102.0,1102.0,1102.0,849.0,1192.0,900.0,1091.0,839.0,93.0,59.0,18.0,5.0,0.0,0.0,93.0,59.0,81.0,54.0,12.0,5.0,1784636637761.0,1784636638863.0,323.0,41.0,86.0,39.0,45.0,576.0,121.0,76.0,470.0,30.0,11.0,41.0,shared,inventory_only,,,,649.0,708.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.955,9.211,7.58,7.701,8.83,8.883,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,-0.375,-1.5100000000000007,253.0,253.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0009,0009,9,20260721_122407_precopy_09_f43fb4,precopy,wrk2,ok,2026-07-21T12:24:07Z,2026-07-21T12:24:27Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0009\summary.json,,False,,,1784636658698.0,1784636658698.0,events(offset_corrected),838.0,651.0,1012.0,1.0,1012.0,1012.0,1012.0,899.0,1087.0,950.0,1000.0,889.0,92.0,59.0,16.0,5.0,0.0,0.0,91.0,60.0,79.0,54.0,12.0,6.0,1784636657970.0,1784636658982.0,209.0,43.0,108.0,41.0,60.0,551.0,119.0,59.0,453.0,39.0,20.0,59.0,shared,inventory_only,,,,661.0,726.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,9.065,9.225,9.73,8.798,10.06,9.974,17.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,0.6650000000000009,-0.4269999999999996,113.0,113.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0010,0010,10,20260721_122427_precopy_10_73973c,precopy,wrk2,ok,2026-07-21T12:24:27Z,2026-07-21T12:24:47Z,,True,True,False,20260721_122120_precopy_wrk2_3e8926,/mnt/criu/runs/batches/20260721_122120_precopy_wrk2_3e8926,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_122120_precopy_wrk2_3e8926\runs\0010\summary.json,,False,,,1784636678932.0,1784636678932.0,events(offset_corrected),958.0,650.0,1161.0,1.0,1161.0,1161.0,1161.0,850.0,1236.0,900.0,1150.0,840.0,94.0,59.0,18.0,6.0,0.0,0.0,94.0,59.0,82.0,54.0,12.0,5.0,1784636678083.0,1784636679244.0,341.0,38.0,101.0,41.0,39.0,577.0,95.0,56.0,488.0,33.0,15.0,48.0,shared,inventory_only,,,,644.0,708.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,7.69,9.317,10.43,9.051,9.96,10.099,18.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,False,2.7399999999999993,-0.266,311.0,311.0
